
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE04 front suspension                              

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     1.03     0.00     0.01     0.00    -0.14     0.00     1.58    -1.50     0.02     0.00    -0.70    -0.13   683.47   668.47
     0.00 -1000.00     0.00    -1.03     0.00    -0.02     0.00     0.14     0.00     1.42    -1.50    -0.02     0.00     0.98    -0.13   653.40   668.47
     0.00     0.00  1000.00     0.00     1.03     0.00    -0.01     0.00    -0.14     1.50    -1.58     0.00     0.02     0.13     0.70   668.47   683.47
     0.00     0.00 -1000.00     0.00    -1.03     0.00     0.02     0.00     0.14     1.50    -1.42     0.00    -0.02     0.13    -0.98   668.47   653.40
     2.00  1000.00     0.00     1.00    -0.03    -0.13     0.14     1.36     1.49     1.63    -1.55    -0.02    -0.03    -0.71    -0.13   739.23   724.22
     2.00 -1000.00     0.00    -1.06    -0.03    -0.16     0.14     1.63     1.49     1.47    -1.55    -0.05    -0.03     0.97    -0.13   709.13   724.22
     2.00     0.00  1000.00    -0.03     1.00    -0.14     0.13     1.49     1.36     1.55    -1.63    -0.03    -0.02     0.13     0.71   724.22   739.23
     2.00     0.00 -1000.00    -0.03    -1.06    -0.14     0.16     1.49     1.63     1.55    -1.47    -0.03    -0.05     0.13    -0.97   724.22   709.13
     4.00  1000.00     0.00     0.97    -0.06    -0.28     0.29     2.85     2.99     1.68    -1.60    -0.05    -0.07    -0.72    -0.12   794.51   779.48
     4.00 -1000.00     0.00    -1.09    -0.06    -0.31     0.29     3.13     2.99     1.52    -1.60    -0.09    -0.07     0.96    -0.12   764.37   779.48
     4.00     0.00  1000.00    -0.06     0.97    -0.29     0.28     2.99     2.85     1.60    -1.68    -0.07    -0.05     0.12     0.72   779.48   794.51
     4.00     0.00 -1000.00    -0.06    -1.09    -0.29     0.31     2.99     3.13     1.60    -1.52    -0.07    -0.09     0.12    -0.96   779.48   764.37
     6.00  1000.00     0.00     0.94    -0.09    -0.43     0.44     4.36     4.49     1.73    -1.65    -0.08    -0.10    -0.73    -0.11   849.29   834.24
     6.00 -1000.00     0.00    -1.12    -0.09    -0.47     0.44     4.63     4.49     1.57    -1.65    -0.12    -0.10     0.95    -0.11   819.12   834.24
     6.00     0.00  1000.00    -0.09     0.94    -0.44     0.43     4.49     4.36     1.65    -1.73    -0.10    -0.08     0.11     0.73   834.24   849.29
     6.00     0.00 -1000.00    -0.09    -1.12    -0.44     0.47     4.49     4.63     1.65    -1.57    -0.10    -0.12     0.11    -0.95   834.24   819.12
     8.00  1000.00     0.00     0.91    -0.12    -0.59     0.61     5.86     6.00     1.78    -1.70    -0.12    -0.14    -0.74    -0.10   903.58   888.52
     8.00 -1000.00     0.00    -1.15    -0.12    -0.63     0.61     6.14     6.00     1.62    -1.70    -0.16    -0.14     0.94    -0.10   873.37   888.52
     8.00     0.00  1000.00    -0.12     0.91    -0.61     0.59     6.00     5.86     1.70    -1.78    -0.14    -0.12     0.10     0.74   888.52   903.58
     8.00     0.00 -1000.00    -0.12    -1.15    -0.61     0.63     6.00     6.14     1.70    -1.62    -0.14    -0.16     0.10    -0.94   888.52   873.37
    10.00  1000.00     0.00     0.88    -0.15    -0.76     0.77     7.37     7.51     1.83    -1.75    -0.15    -0.17    -0.75    -0.09   957.37   942.29
    10.00 -1000.00     0.00    -1.18    -0.15    -0.80     0.77     7.65     7.51     1.67    -1.75    -0.19    -0.17     0.93    -0.09   927.12   942.29
    10.00     0.00  1000.00    -0.15     0.88    -0.77     0.76     7.51     7.37     1.75    -1.83    -0.17    -0.15     0.09     0.75   942.29   957.37
