
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE04 front suspension                              

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.18     0.00    -0.96     0.00     9.13     0.00     1.80    -1.50    -0.21     0.00     0.08    -0.13     0.00   668.47
     0.00 -1000.00     0.00     0.14     0.00     0.57     0.00    -6.74     0.00     1.29    -1.50     0.16     0.00     0.17    -0.13  1409.36   668.47
     0.00     0.00  1000.00     0.00    -0.18     0.00     0.96     0.00     9.13     1.50    -1.80     0.00    -0.21     0.13    -0.08   668.47     0.00
     0.00     0.00 -1000.00     0.00     0.14     0.00    -0.57     0.00    -6.74     1.50    -1.29     0.00     0.16     0.13    -0.17   668.47  1409.36
     2.00  1000.00     0.00    -0.18    -0.03    -0.96     0.14     9.13     1.49     1.80    -1.55    -0.21    -0.03     0.08    -0.13     0.00   724.22
     2.00 -1000.00     0.00     0.11    -0.03     0.45     0.14    -5.26     1.49     1.33    -1.55     0.12    -0.03     0.16    -0.13  1467.25   724.22
     2.00     0.00  1000.00    -0.03    -0.18    -0.14     0.96     1.49     9.13     1.55    -1.80    -0.03    -0.21     0.13    -0.08   724.22     0.00
     2.00     0.00 -1000.00    -0.03     0.11    -0.14    -0.45     1.49    -5.26     1.55    -1.33    -0.03     0.12     0.13    -0.16   724.22  1467.25
     4.00  1000.00     0.00    -0.20    -0.06    -1.04     0.29     9.85     2.99     1.83    -1.60    -0.22    -0.07     0.08    -0.12    25.13   779.48
     4.00 -1000.00     0.00     0.08    -0.06     0.33     0.29    -3.78     2.99     1.38    -1.60     0.09    -0.07     0.15    -0.12  1524.63   779.48
     4.00     0.00  1000.00    -0.06    -0.20    -0.29     1.04     2.99     9.85     1.60    -1.83    -0.07    -0.22     0.12    -0.08   779.48    25.13
     4.00     0.00 -1000.00    -0.06     0.08    -0.29    -0.33     2.99    -3.78     1.60    -1.38    -0.07     0.09     0.12    -0.15   779.48  1524.63
     6.00  1000.00     0.00    -0.23    -0.09    -1.23     0.44    11.37     4.49     1.88    -1.65    -0.26    -0.10     0.07    -0.11    77.70   834.24
     6.00 -1000.00     0.00     0.05    -0.09     0.21     0.44    -2.30     4.49     1.43    -1.65     0.05    -0.10     0.15    -0.11  1581.52   834.24
     6.00     0.00  1000.00    -0.09    -0.23    -0.44     1.23     4.49    11.37     1.65    -1.88    -0.10    -0.26     0.11    -0.07   834.24    77.70
     6.00     0.00 -1000.00    -0.09     0.05    -0.44    -0.21     4.49    -2.30     1.65    -1.43    -0.10     0.05     0.11    -0.15   834.24  1581.52
     8.00  1000.00     0.00    -0.26    -0.12    -1.42     0.61    12.89     6.00     1.93    -1.70    -0.29    -0.14     0.06    -0.10   129.72   888.52
     8.00 -1000.00     0.00     0.02    -0.12     0.07     0.61    -0.81     6.00     1.47    -1.70     0.02    -0.14     0.14    -0.10  1637.92   888.52
     8.00     0.00  1000.00    -0.12    -0.26    -0.61     1.42     6.00    12.89     1.70    -1.93    -0.14    -0.29     0.10    -0.06   888.52   129.72
     8.00     0.00 -1000.00    -0.12     0.02    -0.61    -0.07     6.00    -0.81     1.70    -1.47    -0.14     0.02     0.10    -0.14   888.52  1637.92
    10.00  1000.00     0.00    -0.29    -0.15    -1.61     0.77    14.42     7.51     1.98    -1.75    -0.33    -0.17     0.06    -0.09   181.18   942.29
    10.00 -1000.00     0.00    -0.01    -0.15    -0.06     0.77     0.68     7.51     1.52    -1.75    -0.02    -0.17     0.13    -0.09  1693.82   942.29
