
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             FSE04 front suspension                              

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    -8.00    -1.50     0.00     0.00     0.00  -187.97    12.03    -4.85    21.48    23.56     5.05    13.64     4.52
     2.00    -7.50    -1.55     0.05     0.03     0.00  -188.45    10.05    -4.96    21.31    23.56     5.09    13.76     4.55
     4.00    -7.00    -1.60     0.10     0.06     0.00  -188.94     8.07    -5.07    21.14    23.56     5.14    13.88     4.59
     6.00    -6.50    -1.65     0.14     0.09     0.00  -189.42     6.08    -5.19    20.96    23.56     5.19    13.99     4.63
     8.00    -6.00    -1.70     0.16     0.12     0.00  -189.91     4.09    -5.30    20.79    23.56     5.24    14.11     4.66
    10.00    -5.50    -1.75     0.18     0.15     0.00  -190.39     2.10    -5.42    20.61    23.57     5.29    14.23     4.70
    12.00    -5.00    -1.80     0.19     0.18     0.00  -190.88     0.09    -5.54    20.43    23.57     5.34    14.35     4.73
    14.00    -4.49    -1.85     0.19     0.21     0.00  -191.36    -1.91    -5.65    20.24    23.57     5.39    14.47     4.77
    16.00    -3.99    -1.90     0.18     0.24     0.00  -191.85    -3.92    -5.78    20.06    23.57     5.45    14.59     4.81
    18.00    -3.48    -1.96     0.16     0.27     0.00  -192.33    -5.94    -5.90    19.87    23.57     5.50    14.71     4.84
    20.00    -2.98    -2.01     0.13     0.30     0.00  -192.82    -7.96    -6.02    19.67    23.57     5.55    14.84     4.88
    22.00    -2.47    -2.06     0.09     0.33     0.00  -193.31    -9.99    -6.15    19.48    23.57     5.60    14.96     4.91
    24.00    -1.97    -2.12     0.05     0.36     0.00  -193.80   -12.03    -6.28    19.28    23.58     5.66    15.08     4.95
    26.00    -1.46    -2.17    -0.01     0.39     0.00  -194.28   -14.07    -6.41    19.08    23.58     5.71    15.20     4.99
    28.00    -0.96    -2.23    -0.08     0.42     0.00  -194.77   -16.12    -6.55    18.87    23.58     5.77    15.32     5.02
    30.00    -0.46    -2.28    -0.16     0.46     0.00  -195.26   -18.18    -6.68    18.67    23.58     5.82    15.44     5.06
    32.00     0.05    -2.34    -0.25     0.49     0.00  -195.75   -20.24    -6.82    18.45    23.58     5.88    15.57     5.10
    34.00     0.55    -2.40    -0.35     0.52     0.00  -196.24   -22.32    -6.96    18.24    23.59     5.94    15.69     5.14
    36.00     1.05    -2.46    -0.46     0.55     0.00  -196.74   -24.40    -7.10    18.02    23.59     6.00    15.81     5.17
    38.00     1.54    -2.52    -0.58     0.58     0.00  -197.23   -26.49    -7.25    17.79    23.59     6.05    15.94     5.21
    40.00     2.03    -2.58    -0.71     0.61     0.00  -197.72   -28.59    -7.39    17.57    23.59     6.11    16.06     5.25
    42.00     2.52    -2.64    -0.85     0.64     0.00  -198.22   -30.71    -7.55    17.33    23.59     6.17    16.19     5.29
    44.00     3.01    -2.70    -1.01     0.68     0.00  -198.72   -32.83    -7.70    17.10    23.60     6.23    16.31     5.33
    46.00     3.49    -2.76    -1.17     0.71     0.00  -199.22   -34.97    -7.86    16.86    23.60     6.30    16.44     5.37
    48.00     3.96    -2.83    -1.35     0.74     0.00  -199.72   -37.13    -8.02    16.61    23.60     6.36    16.57     5.40
    50.00     4.43    -2.89    -1.54     0.77     0.00  -200.23   -39.30    -8.18    16.36    23.61     6.42    16.69     5.44
    52.00     4.89    -2.96    -1.75     0.81     0.00  -200.74   -41.48    -8.35    16.10    23.61     6.49    16.82     5.48
     0.00    -8.00    -1.50     0.00     0.00     0.00  -187.97    12.03    -4.85    21.48    23.56     5.05    13.64     4.52
    -2.00    -8.50    -1.45    -0.06    -0.03     0.00  -187.49    14.00    -4.74    21.65    23.56     5.00    13.52     4.48
    -4.00    -8.99    -1.40    -0.13    -0.06     0.00  -187.00    15.97    -4.64    21.81    23.56     4.95    13.40     4.45
    -6.00    -9.49    -1.36    -0.22    -0.09     0.00  -186.52    17.93    -4.53    21.97    23.55     4.91    13.29     4.41
    -8.00    -9.98    -1.31    -0.30    -0.12     0.00  -186.04    19.89    -4.43    22.13    23.55     4.86    13.17     4.38
   -10.00   -10.47    -1.26    -0.40    -0.15     0.00  -185.55    21.85    -4.32    22.29    23.55     4.81    13.05     4.34
   -12.00   -10.96    -1.22    -0.51    -0.18     0.00  -185.07    23.79    -4.22    22.45    23.55     4.77    12.93     4.31
   -14.00   -11.45    -1.17    -0.62    -0.21     0.00  -184.59    25.74    -4.12    22.60    23.55     4.72    12.82     4.27
   -16.00   -11.94    -1.13    -0.74    -0.24     0.00  -184.11    27.67    -4.03    22.75    23.55     4.68    12.70     4.24
   -18.00   -12.43    -1.09    -0.88    -0.27     0.00  -183.63    29.61    -3.93    22.90    23.55     4.64    12.59     4.21
   -20.00   -12.92    -1.04    -1.01    -0.30     0.00  -183.14    31.53    -3.83    23.05    23.55     4.59    12.47     4.17
   -22.00   -13.41    -1.00    -1.16    -0.33     0.00  -182.66    33.45    -3.74    23.20    23.55     4.55    12.36     4.14
   -24.00   -13.58    -0.98    -1.21    -0.34     0.00  -182.50    34.12    -3.70    23.25    23.55     4.53    12.32     4.13
