
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE04 front suspension                              

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00  -187.97    12.03    -8.00    -8.00    -1.50    -1.50     0.00     0.00     0.00   668.47   668.47
     0.00     2.00    14.21  -188.23    11.02    -8.00    -7.50    -1.50    -1.55    -0.07     0.00     1.49   668.47   724.22
     0.00     4.00    31.22  -188.55     9.95    -8.00    -7.00    -1.50    -1.60    -0.13     0.00     2.99   668.47   779.48
     0.00     6.00    51.97  -188.93     8.82    -8.00    -6.50    -1.50    -1.65    -0.20     0.00     4.49   668.47   834.24
     0.00     8.00    77.88  -189.42     7.58    -8.00    -6.00    -1.50    -1.70    -0.27     0.00     6.00   668.47   888.52
     0.00    10.00   111.13  -190.03     6.21    -8.00    -5.50    -1.50    -1.75    -0.33     0.00     7.51   668.47   942.29
     0.00    12.00   155.40  -190.85     4.63    -8.00    -5.00    -1.50    -1.80    -0.40     0.00     9.02   668.47   995.55
     0.00    14.00   217.30  -192.00     2.72    -8.00    -4.49    -1.50    -1.85    -0.47     0.00    10.54   668.47  1048.28
     0.00    16.00   310.06  -193.73     0.24    -8.00    -3.99    -1.50    -1.90    -0.53     0.00    12.07   668.47  1100.48
     0.00    18.00   464.51  -196.59    -3.40    -8.00    -3.48    -1.50    -1.96    -0.60     0.00    13.60   668.47  1152.12
     0.00    20.00   773.16  -202.32    -9.90    -8.00    -2.98    -1.50    -2.01    -0.67     0.00    15.13   668.47  1203.18
     0.00    22.00  1698.44  -219.50   -27.84    -8.00    -2.47    -1.50    -2.06    -0.74     0.00    16.67   668.47  1253.64
     0.00    24.00 ******** ******** ********    -8.00    -1.97    -1.50    -2.12    -0.81     0.00    18.22   668.47  1303.48
     0.00    26.00 -2003.66  -150.77    39.33    -8.00    -1.46    -1.50    -2.17    -0.87     0.00    19.77   668.47  1352.66
