
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             FSE04 front suspension                              

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.13    -0.13    -1.50    23.56     0.00     0.13     0.00     0.27    -0.27 ********    82.30 ******** ********
     2.00     2.19     1.92    -1.34    23.55    -0.08     2.13     0.07     0.28    -0.21   418.44    80.26    92.17    91.98
     4.00     4.26     3.96    -1.17    23.54    -0.31     4.02     0.24     0.30    -0.06   125.31    78.21    44.66    44.41
     6.00     6.35     6.00    -0.99    23.53    -0.70     5.83     0.52     0.35     0.17    67.03    76.16    29.52    29.22
     8.00     8.45     8.04    -0.80    23.53    -1.25     7.55     0.90     0.41     0.48    46.21    74.11    22.08    21.72
    10.00    10.57    10.07    -0.61    23.52    -1.95     9.21     1.36     0.50     0.86    36.61    72.04    17.65    17.24
    12.00    12.72    12.12    -0.41    23.51    -2.81    10.81     1.91     0.60     1.31    31.54    69.95    14.72    14.25
    14.00    14.90    14.17    -0.19    23.50    -3.83    12.35     2.55     0.73     1.82    28.65    67.85    12.63    12.10
    16.00    17.11    16.23     0.02    23.49    -5.01    13.85     3.26     0.88     2.38    26.96    65.73    11.07    10.48
    18.00    19.35    18.30     0.25    23.48    -6.35    15.31     4.05     1.05     3.00    25.99    63.58     9.86     9.21
    20.00    21.64    20.39     0.49    23.48    -7.85    16.73     4.91     1.25     3.66    25.48    61.41     8.89     8.19
    22.00    23.98    22.50     0.74    23.47    -9.52    18.13     5.84     1.48     4.36    25.30    59.20     8.10     7.34
     0.00     0.13    -0.13    -1.50    23.56     0.00     0.13     0.00     0.27    -0.27 ********    82.30 ******** ********
    -2.00    -1.92    -2.19    -1.66    23.57    -0.08    -2.13    -0.07    -0.28     0.21   418.44    84.34    92.17    91.98
    -4.00    -3.96    -4.26    -1.81    23.58    -0.31    -4.02    -0.24    -0.30     0.06   125.31    86.39    44.66    44.41
    -6.00    -6.00    -6.35    -1.95    23.58    -0.70    -5.83    -0.52    -0.35    -0.17    67.03    88.44    29.52    29.22
    -8.00    -8.04    -8.45    -2.08    23.59    -1.25    -7.55    -0.90    -0.41    -0.48    46.21    90.50    22.08    21.72
   -10.00   -10.07   -10.57    -2.21    23.60    -1.95    -9.21    -1.36    -0.50    -0.86    36.61    92.56    17.65    17.24
   -12.00   -12.12   -12.72    -2.33    23.61    -2.81   -10.81    -1.91    -0.60    -1.31    31.54    94.65    14.72    14.25
   -14.00   -14.17   -14.90    -2.45    23.62    -3.83   -12.35    -2.55    -0.73    -1.82    28.65    96.74    12.63    12.10
   -16.00   -16.23   -17.11    -2.55    23.63    -5.01   -13.85    -3.26    -0.88    -2.38    26.96    98.86    11.07    10.48
   -18.00   -18.30   -19.35    -2.65    23.64    -6.35   -15.31    -4.05    -1.05    -3.00    25.99   101.00     9.86     9.21
   -20.00   -20.39   -21.64    -2.75    23.65    -7.85   -16.73    -4.91    -1.25    -3.66    25.48   103.16     8.89     8.19
   -22.00   -22.50   -23.98    -2.83    23.66    -9.52   -18.13    -5.84    -1.48    -4.36    25.30   105.35     8.10     7.34
