
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           FSE04 front suspension                              

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.13     0.00    -0.03     0.00     0.38     0.00     1.56    -1.50     0.02     0.00    -0.06    -0.13   626.23   668.47
     0.00  -100.00     0.00    -0.14     0.00     0.03     0.00    -0.38     0.00     1.44    -1.50    -0.02     0.00     0.33    -0.13   710.55   668.47
     0.00     0.00   100.00     0.00    -0.14     0.00    -0.03     0.00    -0.38     1.50    -1.44     0.00    -0.02     0.13    -0.33   668.47   710.55
     0.00     0.00  -100.00     0.00     0.13     0.00     0.03     0.00     0.38     1.50    -1.56     0.00     0.02     0.13     0.06   668.47   626.23
     2.00   100.00     0.00     0.11    -0.03    -0.17     0.14     1.88     1.49     1.61    -1.55    -0.02    -0.03    -0.07    -0.13   681.54   724.22
     2.00  -100.00     0.00    -0.17    -0.03    -0.11     0.14     1.11     1.49     1.49    -1.55    -0.05    -0.03     0.32    -0.13   766.72   724.22
     2.00     0.00   100.00    -0.03    -0.17    -0.14     0.11     1.49     1.11     1.55    -1.49    -0.03    -0.05     0.13    -0.32   724.22   766.72
     2.00     0.00  -100.00    -0.03     0.11    -0.14     0.17     1.49     1.88     1.55    -1.61    -0.03    -0.02     0.13     0.07   724.22   681.54
     4.00   100.00     0.00     0.08    -0.06    -0.32     0.29     3.38     2.99     1.66    -1.60    -0.05    -0.07    -0.08    -0.12   736.36   779.48
     4.00  -100.00     0.00    -0.20    -0.06    -0.26     0.29     2.60     2.99     1.54    -1.60    -0.09    -0.07     0.31    -0.12   822.41   779.48
     4.00     0.00   100.00    -0.06    -0.20    -0.29     0.26     2.99     2.60     1.60    -1.54    -0.07    -0.09     0.12    -0.31   779.48   822.41
     4.00     0.00  -100.00    -0.06     0.08    -0.29     0.32     2.99     3.38     1.60    -1.66    -0.07    -0.05     0.12     0.08   779.48   736.36
     6.00   100.00     0.00     0.05    -0.09    -0.48     0.44     4.89     4.49     1.71    -1.65    -0.09    -0.10    -0.09    -0.11   790.69   834.24
     6.00  -100.00     0.00    -0.23    -0.09    -0.41     0.44     4.10     4.49     1.58    -1.65    -0.12    -0.10     0.31    -0.11   877.62   834.24
     6.00     0.00   100.00    -0.09    -0.23    -0.44     0.41     4.49     4.10     1.65    -1.58    -0.10    -0.12     0.11    -0.31   834.24   877.62
     6.00     0.00  -100.00    -0.09     0.05    -0.44     0.48     4.49     4.89     1.65    -1.71    -0.10    -0.09     0.11     0.09   834.24   790.69
     8.00   100.00     0.00     0.02    -0.12    -0.64     0.61     6.40     6.00     1.76    -1.70    -0.12    -0.14    -0.10    -0.10   844.52   888.52
     8.00  -100.00     0.00    -0.26    -0.12    -0.57     0.61     5.60     6.00     1.63    -1.70    -0.15    -0.14     0.30    -0.10   932.34   888.52
     8.00     0.00   100.00    -0.12    -0.26    -0.61     0.57     6.00     5.60     1.70    -1.63    -0.14    -0.15     0.10    -0.30   888.52   932.34
     8.00     0.00  -100.00    -0.12     0.02    -0.61     0.64     6.00     6.40     1.70    -1.76    -0.14    -0.12     0.10     0.10   888.52   844.52
    10.00   100.00     0.00    -0.01    -0.15    -0.81     0.77     7.91     7.51     1.81    -1.75    -0.16    -0.17    -0.11    -0.09   897.83   942.29
    10.00  -100.00     0.00    -0.29    -0.15    -0.73     0.77     7.11     7.51     1.68    -1.75    -0.19    -0.17     0.29    -0.09   986.56   942.29
    10.00     0.00   100.00    -0.15    -0.29    -0.77     0.73     7.51     7.11     1.75    -1.68    -0.17    -0.19     0.09    -0.29   942.29   986.56
    10.00     0.00  -100.00    -0.15    -0.01    -0.77     0.81     7.51     7.91     1.75    -1.81    -0.17    -0.16     0.09     0.11   942.29   897.83
    12.00   100.00     0.00    -0.04    -0.18    -0.99     0.95     9.43     9.02     1.86    -1.80    -0.19    -0.21    -0.12    -0.08   950.63   995.55
    12.00  -100.00     0.00    -0.32    -0.18    -0.91     0.95     8.62     9.02     1.74    -1.80    -0.22    -0.21     0.29    -0.08  1040.28   995.55
    12.00     0.00   100.00    -0.18    -0.32    -0.95     0.91     9.02     8.62     1.80    -1.74    -0.21    -0.22     0.08    -0.29   995.55  1040.28
    12.00     0.00  -100.00    -0.18    -0.04    -0.95     0.99     9.02     9.43     1.80    -1.86    -0.21    -0.19     0.08     0.12   995.55   950.63
    14.00   100.00     0.00    -0.07    -0.21    -1.17     1.13    10.96    10.54     1.91    -1.85    -0.22    -0.24    -0.13    -0.07  1002.90  1048.28
    14.00  -100.00     0.00    -0.35    -0.21    -1.08     1.13    10.13    10.54     1.79    -1.85    -0.26    -0.24     0.28    -0.07  1093.47  1048.28
    14.00     0.00   100.00    -0.21    -0.35    -1.13     1.08    10.54    10.13     1.85    -1.79    -0.24    -0.26     0.07    -0.28  1048.28  1093.47
    14.00     0.00  -100.00    -0.21    -0.07    -1.13     1.17    10.54    10.96     1.85    -1.91    -0.24    -0.22     0.07     0.13  1048.28  1002.90
    16.00   100.00     0.00    -0.10    -0.24    -1.36     1.31    12.48    12.07     1.97    -1.90    -0.26    -0.28    -0.14    -0.07  1054.61  1100.48
    16.00  -100.00     0.00    -0.38    -0.24    -1.27     1.31    11.65    12.07     1.84    -1.90    -0.29    -0.28     0.27    -0.07  1146.14  1100.48
    16.00     0.00   100.00    -0.24    -0.38    -1.31     1.27    12.07    11.65     1.90    -1.84    -0.28    -0.29     0.07    -0.27  1100.48  1146.14
    16.00     0.00  -100.00    -0.24    -0.10    -1.31     1.36    12.07    12.48     1.90    -1.97    -0.28    -0.26     0.07     0.14  1100.48  1054.61
    18.00   100.00     0.00    -0.13    -0.27    -1.55     1.51    14.02    13.60     2.02    -1.96    -0.29    -0.31    -0.15    -0.06  1105.77  1152.12
    18.00  -100.00     0.00    -0.41    -0.27    -1.46     1.51    13.18    13.60     1.89    -1.96    -0.33    -0.31     0.26    -0.06  1198.26  1152.12
    18.00     0.00   100.00    -0.27    -0.41    -1.51     1.46    13.60    13.18     1.96    -1.89    -0.31    -0.33     0.06    -0.26  1152.12  1198.26
    18.00     0.00  -100.00    -0.27    -0.13    -1.51     1.55    13.60    14.02     1.96    -2.02    -0.31    -0.29     0.06     0.15  1152.12  1105.77
    20.00   100.00     0.00    -0.16    -0.30    -1.76     1.71    15.56    15.13     2.07    -2.01    -0.33    -0.35    -0.16    -0.05  1156.33  1203.18
    20.00  -100.00     0.00    -0.44    -0.30    -1.66     1.71    14.71    15.13     1.94    -2.01    -0.37    -0.35     0.26    -0.05  1249.82  1203.18
    20.00     0.00   100.00    -0.30    -0.44    -1.71     1.66    15.13    14.71     2.01    -1.94    -0.35    -0.37     0.05    -0.26  1203.18  1249.82
    20.00     0.00  -100.00    -0.30    -0.16    -1.71     1.76    15.13    15.56     2.01    -2.07    -0.35    -0.33     0.05     0.16  1203.18  1156.33
    22.00   100.00     0.00    -0.19    -0.33    -1.97     1.91    17.10    16.67     2.13    -2.06    -0.36    -0.38    -0.17    -0.04  1206.28  1253.64
    22.00  -100.00     0.00    -0.48    -0.33    -1.86     1.91    16.24    16.67     2.00    -2.06    -0.40    -0.38     0.25    -0.04  1300.79  1253.64
    22.00     0.00   100.00    -0.33    -0.48    -1.91     1.86    16.67    16.24     2.06    -2.00    -0.38    -0.40     0.04    -0.25  1253.64  1300.79
    22.00     0.00  -100.00    -0.33    -0.19    -1.91     1.97    16.67    17.10     2.06    -2.13    -0.38    -0.36     0.04     0.17  1253.64  1206.28
    24.00   100.00     0.00    -0.22    -0.36    -2.18     2.13    18.65    18.22     2.18    -2.12    -0.40    -0.42    -0.18    -0.03  1255.59  1303.48
