
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           FSE04 front suspension                              

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.03     0.00     0.03     0.00    -0.27     0.00     1.52    -1.50     0.27     0.00    -0.02    -0.13   698.30   668.47
     0.00  -100.00     0.00    -0.03     0.00    -0.03     0.00     0.27     0.00     1.48    -1.50    -0.27     0.00     0.29    -0.13   638.63   668.47
     0.00     0.00   100.00     0.00     0.03     0.00    -0.03     0.00    -0.27     1.50    -1.52     0.00     0.27     0.13     0.02   668.47   698.30
     0.00     0.00  -100.00     0.00    -0.03     0.00     0.03     0.00     0.27     1.50    -1.48     0.00    -0.27     0.13    -0.29   668.47   638.63
     2.00   100.00     0.00     0.00    -0.03    -0.12     0.14     1.22     1.49     1.56    -1.55     0.24    -0.03    -0.03    -0.13   754.12   724.22
     2.00  -100.00     0.00    -0.06    -0.03    -0.17     0.14     1.76     1.49     1.53    -1.55    -0.31    -0.03     0.28    -0.13   694.30   724.22
     2.00     0.00   100.00    -0.03     0.00    -0.14     0.12     1.49     1.22     1.55    -1.56    -0.03     0.24     0.13     0.03   724.22   754.12
     2.00     0.00  -100.00    -0.03    -0.06    -0.14     0.17     1.49     1.76     1.55    -1.53    -0.03    -0.31     0.13    -0.28   724.22   694.30
     4.00   100.00     0.00    -0.03    -0.06    -0.26     0.29     2.72     2.99     1.61    -1.60     0.20    -0.07    -0.04    -0.12   809.46   779.48
     4.00  -100.00     0.00    -0.09    -0.06    -0.32     0.29     3.26     2.99     1.58    -1.60    -0.34    -0.07     0.27    -0.12   749.49   779.48
     4.00     0.00   100.00    -0.06    -0.03    -0.29     0.26     2.99     2.72     1.60    -1.61    -0.07     0.20     0.12     0.04   779.48   809.46
