
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           FSE04 front suspension                              

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -1.48     0.00    -0.05     0.00    -0.07     0.00     1.30    -1.50    -0.14     0.00     2.14    -0.13   676.57   668.47
     0.00  -100.00     0.00     1.46     0.00     0.00     0.00     0.07     0.00     1.69    -1.50     0.15     0.00    -1.85    -0.13   660.53   668.47
     0.00     0.00   100.00     0.00     1.46     0.00     0.00     0.00     0.07     1.50    -1.69     0.00     0.15     0.13     1.85   668.47   660.53
     0.00     0.00  -100.00     0.00    -1.48     0.00     0.05     0.00    -0.07     1.50    -1.30     0.00    -0.14     0.13    -2.14   668.47   676.57
     2.00   100.00     0.00    -1.51    -0.03    -0.19     0.14     1.42     1.49     1.35    -1.55    -0.18    -0.03     2.14    -0.13   732.34   724.22
     2.00  -100.00     0.00     1.43    -0.03    -0.14     0.14     1.56     1.49     1.74    -1.55     0.11    -0.03    -1.86    -0.13   716.22   724.22
     2.00     0.00   100.00    -0.03     1.43    -0.14     0.14     1.49     1.56     1.55    -1.74    -0.03     0.11     0.13     1.86   724.22   716.22
     2.00     0.00  -100.00    -0.03    -1.51    -0.14     0.19     1.49     1.42     1.55    -1.35    -0.03    -0.18     0.13    -2.14   724.22   732.34
     4.00   100.00     0.00    -1.54    -0.06    -0.34     0.29     2.92     2.99     1.40    -1.60    -0.21    -0.07     2.13    -0.12   787.63   779.48
     4.00  -100.00     0.00     1.40    -0.06    -0.29     0.29     3.06     2.99     1.79    -1.60     0.08    -0.07    -1.87    -0.12   771.43   779.48
     4.00     0.00   100.00    -0.06     1.40    -0.29     0.29     2.99     3.06     1.60    -1.79    -0.07     0.08     0.12     1.87   779.48   771.43
     4.00     0.00  -100.00    -0.06    -1.54    -0.29     0.34     2.99     2.92     1.60    -1.40    -0.07    -0.21     0.12    -2.13   779.48   787.63
