
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE04 rear suspension                               

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.76     0.00    -0.06     0.00     0.22     0.00     1.33    -1.30     0.09     0.00    -0.78     0.20   687.95   712.01
     0.00 -1000.00     0.00    -0.76     0.00     0.05     0.00    -0.22     0.00     1.27    -1.30    -0.09     0.00     0.38     0.20   735.89   712.01
     0.00     0.00  1000.00     0.00     0.76     0.00     0.06     0.00     0.22     1.30    -1.33     0.00     0.09    -0.20     0.78   712.01   687.95
     0.00     0.00 -1000.00     0.00    -0.76     0.00    -0.05     0.00    -0.22     1.30    -1.27     0.00    -0.09    -0.20    -0.38   712.01   735.89
     2.00  1000.00     0.00     0.81     0.05    -0.20     0.14     1.71     1.49     1.39    -1.36     0.12     0.04    -0.86     0.28   743.73   768.10
     2.00 -1000.00     0.00    -0.71     0.05    -0.09     0.14     1.27     1.49     1.32    -1.36    -0.05     0.04     0.31     0.28   792.29   768.10
     2.00     0.00  1000.00     0.05     0.81    -0.14     0.20     1.49     1.71     1.36    -1.39     0.04     0.12    -0.28     0.86   768.10   743.73
     2.00     0.00 -1000.00     0.05    -0.71    -0.14     0.09     1.49     1.27     1.36    -1.32     0.04    -0.05    -0.28    -0.31   768.10   792.29
     4.00  1000.00     0.00     0.86     0.10    -0.35     0.29     3.21     2.98     1.45    -1.42     0.16     0.07    -0.93     0.35   799.15   823.84
     4.00 -1000.00     0.00    -0.67     0.10    -0.23     0.29     2.76     2.98     1.38    -1.42    -0.01     0.07     0.23     0.35   848.34   823.84
     4.00     0.00  1000.00     0.10     0.86    -0.29     0.35     2.98     3.21     1.42    -1.45     0.07     0.16    -0.35     0.93   823.84   799.15
     4.00     0.00 -1000.00     0.10    -0.67    -0.29     0.23     2.98     2.76     1.42    -1.38     0.07    -0.01    -0.35    -0.23   823.84   848.34
     6.00  1000.00     0.00     0.91     0.15    -0.51     0.45     4.71     4.48     1.50    -1.47     0.20     0.11    -1.01     0.43   854.20   879.21
     6.00 -1000.00     0.00    -0.62     0.15    -0.39     0.45     4.25     4.48     1.44    -1.47     0.03     0.11     0.16     0.43   904.01   879.21
     6.00     0.00  1000.00     0.15     0.91    -0.45     0.51     4.48     4.71     1.47    -1.50     0.11     0.20    -0.43     1.01   879.21   854.20
     6.00     0.00 -1000.00     0.15    -0.62    -0.45     0.39     4.48     4.25     1.47    -1.44     0.11     0.03    -0.43    -0.16   879.21   904.01
     8.00  1000.00     0.00     0.96     0.20    -0.67     0.61     6.21     5.98     1.56    -1.53     0.24     0.15    -1.08     0.50   908.86   934.19
     8.00 -1000.00     0.00    -0.57     0.20    -0.55     0.61     5.75     5.98     1.50    -1.53     0.06     0.15     0.08     0.50   959.29   934.19
     8.00     0.00  1000.00     0.20     0.96    -0.61     0.67     5.98     6.21     1.53    -1.56     0.15     0.24    -0.50     1.08   934.19   908.86
     8.00     0.00 -1000.00     0.20    -0.57    -0.61     0.55     5.98     5.75     1.53    -1.50     0.15     0.06    -0.50    -0.08   934.19   959.29
    10.00  1000.00     0.00     1.01     0.25    -0.85     0.78     7.71     7.48     1.62    -1.59     0.27     0.19    -1.16     0.57   963.11   988.75
    10.00 -1000.00     0.00    -0.52     0.25    -0.72     0.78     7.25     7.48     1.56    -1.59     0.10     0.19     0.01     0.57  1014.16   988.75
    10.00     0.00  1000.00     0.25     1.01    -0.78     0.85     7.48     7.71     1.59    -1.62     0.19     0.27    -0.57     1.16   988.75   963.11
