
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             FSE04 rear suspension                               

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    12.00    -1.30     0.00     0.00     0.00  -182.29    17.71    -0.49    19.39    25.95     4.57    14.09     5.14
     2.00    16.54    -1.36     0.12    -0.05     0.00  -183.55    14.96    -0.85    19.34    25.95     4.62    13.96     5.11
     4.00    21.05    -1.42     0.23    -0.10     0.00  -184.80    12.22    -1.21    19.30    25.96     4.68    13.82     5.08
     6.00    25.54    -1.47     0.32    -0.15     0.00  -186.06     9.46    -1.58    19.26    25.96     4.73    13.69     5.05
     8.00    30.01    -1.53     0.40    -0.20     0.00  -187.32     6.70    -1.96    19.22    25.96     4.78    13.56     5.02
    10.00    34.46    -1.59     0.46    -0.25     0.00  -188.58     3.94    -2.34    19.17    25.96     4.83    13.43     4.99
    12.00    38.88    -1.65     0.51    -0.30     0.00  -189.84     1.17    -2.72    19.13    25.97     4.88    13.29     4.96
    14.00    43.27    -1.71     0.54    -0.35     0.00  -191.10    -1.61    -3.11    19.08    25.97     4.94    13.16     4.93
    16.00    47.64    -1.77     0.56    -0.40     0.00  -192.37    -4.39    -3.51    19.03    25.97     4.99    13.03     4.90
    18.00    51.98    -1.83     0.57    -0.46     0.00  -193.64    -7.18    -3.91    18.99    25.98     5.04    12.90     4.87
    20.00    56.30    -1.89     0.56    -0.51     0.00  -194.91    -9.98    -4.32    18.94    25.98     5.10    12.77     4.84
    22.00    60.58    -1.94     0.53    -0.57     0.00  -196.19   -12.79    -4.73    18.89    25.98     5.15    12.63     4.81
    24.00    64.83    -2.01     0.49    -0.62     0.00  -197.47   -15.61    -5.15    18.84    25.99     5.21    12.50     4.78
    26.00    69.04    -2.07     0.43    -0.68     0.00  -198.75   -18.44    -5.58    18.79    25.99     5.26    12.37     4.75
    28.00    73.22    -2.13     0.36    -0.73     0.00  -200.04   -21.28    -6.01    18.74    25.99     5.32    12.24     4.73
    30.00    77.35    -2.19     0.27    -0.79     0.00  -201.33   -24.13    -6.46    18.68    26.00     5.37    12.11     4.70
    32.00    81.45    -2.25     0.16    -0.85     0.00  -202.63   -26.99    -6.90    18.63    26.00     5.43    11.98     4.67
    34.00    85.49    -2.31     0.04    -0.90     0.00  -203.93   -29.87    -7.36    18.58    26.00     5.49    11.85     4.64
    36.00    89.49    -2.37    -0.10    -0.96     0.00  -205.24   -32.76    -7.82    18.52    26.01     5.54    11.71     4.61
    38.00    93.43    -2.44    -0.26    -1.02     0.00  -206.56   -35.66    -8.29    18.46    26.01     5.60    11.58     4.58
    40.00    97.31    -2.50    -0.43    -1.08     0.00  -207.89   -38.59    -8.77    18.41    26.01     5.66    11.45     4.55
    42.00   101.13    -2.56    -0.63    -1.14     0.00  -209.22   -41.53    -9.26    18.35    26.02     5.72    11.32     4.52
    44.00   104.87    -2.63    -0.84    -1.20     0.00  -210.56   -44.49    -9.76    18.29    26.02     5.78    11.19     4.50
    46.00   108.54    -2.69    -1.07    -1.26     0.00  -211.91   -47.47   -10.27    18.23    26.02     5.84    11.06     4.47
    48.00   112.13    -2.76    -1.32    -1.32     0.00  -213.27   -50.48   -10.79    18.16    26.03     5.90    10.92     4.44
    50.00   115.62    -2.82    -1.59    -1.37     0.00  -214.65   -53.51   -11.32    18.10    26.03     5.97    10.79     4.41
    52.00   119.02    -2.89    -1.88    -1.43     0.00  -216.03   -56.57   -11.87    18.04    26.04     6.03    10.66     4.38
    54.00   122.30    -2.96    -2.19    -1.49     0.00  -217.43   -59.66   -12.42    17.97    26.04     6.10    10.52     4.35
    56.00   125.46    -3.03    -2.52    -1.55     0.00  -218.85   -62.78   -12.99    17.90    26.04     6.16    10.39     4.32
     0.00    12.00    -1.30     0.00     0.00     0.00  -182.29    17.71    -0.49    19.39    25.95     4.57    14.09     5.14
    -2.00     7.44    -1.24    -0.14     0.05     0.00  -181.04    20.45    -0.13    19.43    25.95     4.52    14.22     5.17
    -4.00     2.87    -1.19    -0.28     0.09     0.00  -179.79    23.18     0.22    19.47    25.95     4.47    14.36     5.21
    -6.00    -1.73    -1.13    -0.45     0.14     0.00  -178.53    25.92     0.57    19.51    25.94     4.42    14.49     5.24
    -8.00    -6.35    -1.07    -0.63     0.19     0.00  -177.28    28.65     0.91    19.55    25.94     4.37    14.63     5.27
   -10.00   -10.99    -1.01    -0.82     0.23     0.00  -176.03    31.37     1.25    19.58    25.94     4.32    14.76     5.30
   -12.00   -15.65    -0.96    -1.02     0.28     0.00  -174.78    34.10     1.59    19.62    25.94     4.27    14.90     5.33
   -14.00   -20.33    -0.90    -1.24     0.32     0.00  -173.53    36.82     1.92    19.66    25.93     4.23    15.03     5.36
   -16.00   -25.04    -0.84    -1.48     0.36     0.00  -172.28    39.54     2.25    19.70    25.93     4.18    15.17     5.40
   -18.00   -29.76    -0.79    -1.73     0.41     0.00  -171.03    42.25     2.57    19.73    25.93     4.13    15.31     5.43
   -20.00   -34.51    -0.73    -1.99     0.45     0.00  -169.78    44.97     2.89    19.77    25.93     4.08    15.44     5.46
