
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE04 rear suspension                               

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00  -182.29    17.71    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   712.01   712.01
     0.00     2.00    23.03  -182.97    16.28    12.00    16.54    -1.30    -1.36    -0.07     0.00     1.49   712.01   768.10
     0.00     4.00    50.32  -183.78    14.73    12.00    21.05    -1.30    -1.42    -0.14     0.00     2.98   712.01   823.84
     0.00     6.00    83.17  -184.75    13.01    12.00    25.54    -1.30    -1.47    -0.22     0.00     4.48   712.01   879.21
     0.00     8.00   123.49  -185.94    11.07    12.00    30.01    -1.30    -1.53    -0.29     0.00     5.98   712.01   934.19
     0.00    10.00   174.18  -187.43     8.82    12.00    34.46    -1.30    -1.59    -0.36     0.00     7.48   712.01   988.75
     0.00    12.00   239.85  -189.37     6.13    12.00    38.88    -1.30    -1.65    -0.44     0.00     8.99   712.01  1042.89
     0.00    14.00   328.31  -191.98     2.77    12.00    43.27    -1.30    -1.71    -0.51     0.00    10.50   712.01  1096.57
     0.00    16.00   453.98  -195.69    -1.70    12.00    47.64    -1.30    -1.77    -0.59     0.00    12.01   712.01  1149.76
     0.00    18.00   646.65  -201.38    -8.15    12.00    51.98    -1.30    -1.83    -0.66     0.00    13.53   712.01  1202.44
     0.00    20.00   979.56  -211.20   -18.74    12.00    56.30    -1.30    -1.89    -0.74     0.00    15.06   712.01  1254.59
     0.00    22.00  1693.86  -232.28   -40.59    12.00    60.58    -1.30    -1.94    -0.81     0.00    16.59   712.01  1306.16
     0.00    24.00  4325.90  -309.97  -119.04    12.00    64.83    -1.30    -2.01    -0.89     0.00    18.12   712.01  1357.12
     0.00    26.00 ********   220.84   411.00    12.00    69.04    -1.30    -2.07    -0.97     0.00    19.66   712.01  1407.43
