
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             FSE06 front suspension                              

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00     0.00     0.13    -0.13    -1.50    26.96     0.00     0.13     0.00     0.27    -0.27 ********    81.22 ******** ********
     0.00     2.00     2.22     1.94    -1.33    26.95    -0.08     2.15     0.07     0.28    -0.21   412.85    79.16    90.92    90.72
     0.00     4.00     4.32     4.01    -1.15    26.94    -0.31     4.07     0.25     0.31    -0.06   125.58    77.09    44.10    43.84
     0.00     6.00     6.44     6.07    -0.96    26.93    -0.71     5.91     0.53     0.37     0.17    68.62    75.01    29.17    28.85
     0.00     8.00     8.58     8.13    -0.77    26.93    -1.26     7.66     0.92     0.44     0.47    48.35    72.92    21.83    21.46
     0.00    10.00    10.74    10.19    -0.57    26.92    -1.97     9.34     1.40     0.55     0.85    39.07    70.81    17.46    17.03
     0.00    12.00    12.93    12.25    -0.36    26.91    -2.85    10.96     1.96     0.67     1.29    34.23    68.69    14.57    14.08
     0.00    14.00    15.15    14.32    -0.15    26.90    -3.88    12.53     2.61     0.82     1.79    31.54    66.54    12.50    11.96
     0.00    16.00    17.40    16.40     0.08    26.90    -5.07    14.06     3.35     1.00     2.34    30.02    64.37    10.96    10.37
     0.00    18.00    19.70    18.49     0.31    26.89    -6.43    15.54     4.16     1.21     2.94    29.22    62.16     9.77     9.11
     0.00    20.00    22.05    20.59     0.55    26.88    -7.96    17.00     5.05     1.46     3.59    28.89    59.92     8.81     8.10
     0.00    22.00    24.45    22.71     0.81    26.88    -9.66    18.44     6.01     1.74     4.27    28.90    57.64     8.03     7.26
     0.00    24.00    26.91    24.85     1.07    26.87   -11.52    19.85     7.05     2.06     5.00    29.16    55.30     7.38     7.85
     0.00     0.00     0.13    -0.13    -1.50    26.96     0.00     0.13     0.00     0.27    -0.27 ********    81.22 ******** ********
