
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.04     0.00     0.12     0.00    -0.69     0.00     1.27    -1.30    -0.02     0.00    -0.21     0.20   787.46   712.01
     0.00 -1000.00     0.00    -0.04     0.00    -0.12     0.00     0.72     0.00     1.33    -1.30     0.02     0.00    -0.19     0.20   633.29   712.01
     0.00     0.00  1000.00     0.00    -0.04     0.00     0.12     0.00     0.72     1.30    -1.33     0.00     0.02    -0.20     0.19   712.01   633.29
     0.00     0.00 -1000.00     0.00     0.04     0.00    -0.12     0.00    -0.69     1.30    -1.27     0.00    -0.02    -0.20     0.21   712.01   787.46
     2.00  1000.00     0.00    -0.04    -0.08    -0.04     0.16     0.86     1.58     1.34    -1.37     0.04     0.05    -0.21     0.20   837.62   758.50
     2.00 -1000.00     0.00    -0.13    -0.08    -0.28     0.16     2.33     1.58     1.40    -1.37     0.07     0.05    -0.19     0.20   675.91   758.50
     2.00     0.00  1000.00    -0.08    -0.13    -0.16     0.28     1.58     2.33     1.37    -1.40     0.05     0.07    -0.20     0.19   758.50   675.91
     2.00     0.00 -1000.00    -0.08    -0.04    -0.16     0.04     1.58     0.86     1.37    -1.34     0.05     0.04    -0.20     0.21   758.50   837.62
     4.00  1000.00     0.00    -0.12    -0.17    -0.19     0.32     2.41     3.16     1.40    -1.43     0.09     0.11    -0.20     0.20   887.40   804.54
     4.00 -1000.00     0.00    -0.22    -0.17    -0.46     0.32     3.94     3.16     1.46    -1.43     0.13     0.11    -0.19     0.20   718.02   804.54
     4.00     0.00  1000.00    -0.17    -0.22    -0.32     0.46     3.16     3.94     1.43    -1.46     0.11     0.13    -0.20     0.19   804.54   718.02
     4.00     0.00 -1000.00    -0.17    -0.12    -0.32     0.19     3.16     2.41     1.43    -1.40     0.11     0.09    -0.20     0.20   804.54   887.40
     6.00  1000.00     0.00    -0.21    -0.26    -0.36     0.50     3.96     4.74     1.47    -1.50     0.14     0.16    -0.20     0.19   936.73   850.07
     6.00 -1000.00     0.00    -0.31    -0.26    -0.64     0.50     5.57     4.74     1.53    -1.50     0.18     0.16    -0.18     0.19   759.52   850.07
     6.00     0.00  1000.00    -0.26    -0.31    -0.50     0.64     4.74     5.57     1.50    -1.53     0.16     0.18    -0.19     0.18   850.07   759.52
     6.00     0.00 -1000.00    -0.26    -0.21    -0.50     0.36     4.74     3.96     1.50    -1.47     0.16     0.14    -0.19     0.20   850.07   936.73
     8.00  1000.00     0.00    -0.29    -0.34    -0.53     0.68     5.51     6.33     1.53    -1.56     0.19     0.22    -0.20     0.19   985.52   894.97
     8.00 -1000.00     0.00    -0.40    -0.34    -0.83     0.68     7.19     6.33     1.60    -1.56     0.24     0.22    -0.18     0.19   800.30   894.97
     8.00     0.00  1000.00    -0.34    -0.40    -0.68     0.83     6.33     7.19     1.56    -1.60     0.22     0.24    -0.19     0.18   894.97   800.30
     8.00     0.00 -1000.00    -0.34    -0.29    -0.68     0.53     6.33     5.51     1.56    -1.53     0.22     0.19    -0.19     0.20   894.97   985.52
    10.00  1000.00     0.00    -0.38    -0.43    -0.72     0.87     7.07     7.93     1.60    -1.63     0.25     0.27    -0.20     0.19  1033.68   939.12
    10.00 -1000.00     0.00    -0.48    -0.43    -1.03     0.87     8.83     7.93     1.67    -1.63     0.30     0.27    -0.18     0.19   840.21   939.12
    10.00     0.00  1000.00    -0.43    -0.48    -0.87     1.03     7.93     8.83     1.63    -1.67     0.27     0.30    -0.19     0.18   939.12   840.21
