
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.55     0.00    -1.14     0.00    10.13     0.00     1.72    -1.30     0.34     0.00    -0.18     0.20     0.00   712.01
     0.00 -1000.00     0.00     0.38     0.00     0.63     0.00    -7.15     0.00     1.00    -1.30    -0.25     0.00    -0.20     0.20  1498.03   712.01
     0.00     0.00  1000.00     0.00    -0.55     0.00     1.14     0.00    10.13     1.30    -1.72     0.00     0.34    -0.20     0.18   712.01     0.00
     0.00     0.00 -1000.00     0.00     0.38     0.00    -0.63     0.00    -7.15     1.30    -1.00     0.00    -0.25    -0.20     0.20   712.01  1498.03
     2.00  1000.00     0.00    -0.55    -0.08    -1.14     0.16    10.13     1.58     1.72    -1.37     0.34     0.05    -0.18     0.20     0.00   758.50
     2.00 -1000.00     0.00     0.30    -0.08     0.50     0.16    -5.58     1.58     1.07    -1.37    -0.19     0.05    -0.20     0.20  1545.47   758.50
     2.00     0.00  1000.00    -0.08    -0.55    -0.16     1.14     1.58    10.13     1.37    -1.72     0.05     0.34    -0.20     0.18   758.50     0.00
     2.00     0.00 -1000.00    -0.08     0.30    -0.16    -0.50     1.58    -5.58     1.37    -1.07     0.05    -0.19    -0.20     0.20   758.50  1545.47
     4.00  1000.00     0.00    -0.57    -0.17    -1.17     0.32    10.40     3.16     1.73    -1.43     0.35     0.11    -0.18     0.20     7.07   804.54
     4.00 -1000.00     0.00     0.21    -0.17     0.37     0.32    -4.01     3.16     1.13    -1.43    -0.14     0.11    -0.20     0.20  1592.75   804.54
     4.00     0.00  1000.00    -0.17    -0.57    -0.32     1.17     3.16    10.40     1.43    -1.73     0.11     0.35    -0.20     0.18   804.54     7.07
     4.00     0.00 -1000.00    -0.17     0.21    -0.32    -0.37     3.16    -4.01     1.43    -1.13     0.11    -0.14    -0.20     0.20   804.54  1592.75
     6.00  1000.00     0.00    -0.66    -0.26    -1.39     0.50    12.02     4.74     1.80    -1.50     0.41     0.16    -0.17     0.19    48.90   850.07
     6.00 -1000.00     0.00     0.13    -0.26     0.23     0.50    -2.43     4.74     1.20    -1.50    -0.08     0.16    -0.20     0.19  1639.82   850.07
     6.00     0.00  1000.00    -0.26    -0.66    -0.50     1.39     4.74    12.02     1.50    -1.80     0.16     0.41    -0.19     0.17   850.07    48.90
     6.00     0.00 -1000.00    -0.26     0.13    -0.50    -0.23     4.74    -2.43     1.50    -1.20     0.16    -0.08    -0.19     0.20   850.07  1639.82
     8.00  1000.00     0.00    -0.75    -0.34    -1.61     0.68    13.65     6.33     1.87    -1.56     0.46     0.22    -0.17     0.19    89.36   894.97
     8.00 -1000.00     0.00     0.05    -0.34     0.08     0.68    -0.86     6.33     1.26    -1.56    -0.03     0.22    -0.20     0.19  1686.62   894.97
     8.00     0.00  1000.00    -0.34    -0.75    -0.68     1.61     6.33    13.65     1.56    -1.87     0.22     0.46    -0.19     0.17   894.97    89.36
     8.00     0.00 -1000.00    -0.34     0.05    -0.68    -0.08     6.33    -0.86     1.56    -1.26     0.22    -0.03    -0.19     0.20   894.97  1686.62
    10.00  1000.00     0.00    -0.84    -0.43    -1.84     0.87    15.30     7.93     1.94    -1.63     0.52     0.27    -0.16     0.19   128.17   939.12
    10.00 -1000.00     0.00    -0.04    -0.43    -0.07     0.87     0.72     7.93     1.33    -1.63     0.02     0.27    -0.20     0.19  1733.09   939.12
    10.00     0.00  1000.00    -0.43    -0.84    -0.87     1.84     7.93    15.30     1.63    -1.94     0.27     0.52    -0.19     0.16   939.12   128.17
