
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           FSE06 rear suspension                               

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.66     0.00    -0.02     0.00     0.02     0.00     1.17    -1.30    -0.09     0.00     0.79     0.20   709.96   712.01
     0.00  -100.00     0.00     0.65     0.00     0.01     0.00    -0.03     0.00     1.43    -1.30     0.09     0.00    -1.19     0.20   715.22   712.01
     0.00     0.00   100.00     0.00     0.65     0.00    -0.01     0.00    -0.03     1.30    -1.43     0.00     0.09    -0.20     1.19   712.01   715.22
     0.00     0.00  -100.00     0.00    -0.66     0.00     0.02     0.00     0.02     1.30    -1.17     0.00    -0.09    -0.20    -0.79   712.01   709.96
     2.00   100.00     0.00    -0.74    -0.08    -0.18     0.16     1.60     1.58     1.23    -1.37    -0.04     0.05     0.79     0.20   756.01   758.50
     2.00  -100.00     0.00     0.57    -0.08    -0.15     0.16     1.54     1.58     1.50    -1.37     0.15     0.05    -1.18     0.20   762.11   758.50
     2.00     0.00   100.00    -0.08     0.57    -0.16     0.15     1.58     1.54     1.37    -1.50     0.05     0.15    -0.20     1.18   758.50   762.11
     2.00     0.00  -100.00    -0.08    -0.74    -0.16     0.18     1.58     1.60     1.37    -1.23     0.05    -0.04    -0.20    -0.79   758.50   756.01
     4.00   100.00     0.00    -0.83    -0.17    -0.34     0.32     3.19     3.16     1.30    -1.43     0.01     0.11     0.79     0.20   801.63   804.54
     4.00  -100.00     0.00     0.48    -0.17    -0.31     0.32     3.12     3.16     1.56    -1.43     0.20     0.11    -1.18     0.20   808.56   804.54
     4.00     0.00   100.00    -0.17     0.48    -0.32     0.31     3.16     3.12     1.43    -1.56     0.11     0.20    -0.20     1.18   804.54   808.56
     4.00     0.00  -100.00    -0.17    -0.83    -0.32     0.34     3.16     3.19     1.43    -1.30     0.11     0.01    -0.20    -0.79   804.54   801.63
     6.00   100.00     0.00    -0.91    -0.26    -0.52     0.50     4.78     4.74     1.37    -1.50     0.07     0.16     0.80     0.19   846.71   850.07
     6.00  -100.00     0.00     0.40    -0.26    -0.49     0.50     4.70     4.74     1.63    -1.50     0.26     0.16    -1.18     0.19   854.49   850.07
     6.00     0.00   100.00    -0.26     0.40    -0.50     0.49     4.74     4.70     1.50    -1.63     0.16     0.26    -0.19     1.18   850.07   854.49
     6.00     0.00  -100.00    -0.26    -0.91    -0.50     0.52     4.74     4.78     1.50    -1.37     0.16     0.07    -0.19    -0.80   850.07   846.71
     8.00   100.00     0.00    -1.00    -0.34    -0.70     0.68     6.37     6.33     1.43    -1.56     0.12     0.22     0.80     0.19   891.16   894.97
     8.00  -100.00     0.00     0.31    -0.34    -0.67     0.68     6.29     6.33     1.69    -1.56     0.31     0.22    -1.17     0.19   899.80   894.97
