
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE08 front suspension                              

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.09     0.00     0.07     0.00    -0.07     0.00     1.49    -1.50    -0.05     0.00     0.27    -0.13   735.65   668.47
     0.00 -1000.00     0.00     0.09     0.00    -0.07     0.00     0.07     0.00     1.51    -1.50     0.05     0.00    -0.01    -0.13   600.98   668.47
     0.00     0.00  1000.00     0.00     0.09     0.00     0.07     0.00     0.07     1.50    -1.51     0.00     0.05     0.13     0.01   668.47   600.98
     0.00     0.00 -1000.00     0.00    -0.09     0.00    -0.07     0.00    -0.07     1.50    -1.49     0.00    -0.05     0.13    -0.27   668.47   735.65
     2.00  1000.00     0.00    -0.15    -0.06    -0.07     0.14     1.88     1.96     1.63    -1.64    -0.10    -0.06     0.27    -0.13   782.47   711.19
     2.00 -1000.00     0.00     0.03    -0.06    -0.21     0.14     2.03     1.96     1.65    -1.64    -0.01    -0.06     0.00    -0.13   639.58   711.19
     2.00     0.00  1000.00    -0.06     0.03    -0.14     0.21     1.96     2.03     1.64    -1.65    -0.06    -0.01     0.13     0.00   711.19   639.58
     2.00     0.00 -1000.00    -0.06    -0.15    -0.14     0.07     1.96     1.88     1.64    -1.63    -0.06    -0.10     0.13    -0.27   711.19   782.47
     4.00  1000.00     0.00    -0.20    -0.12    -0.22     0.29     3.83     3.91     1.77    -1.78    -0.16    -0.11     0.27    -0.14   829.70   754.33
     4.00 -1000.00     0.00    -0.02    -0.12    -0.36     0.29     3.99     3.91     1.80    -1.78    -0.06    -0.11     0.00    -0.14   678.62   754.33
     4.00     0.00  1000.00    -0.12    -0.02    -0.29     0.36     3.91     3.99     1.78    -1.80    -0.11    -0.06     0.14     0.00   754.33   678.62
     4.00     0.00 -1000.00    -0.12    -0.20    -0.29     0.22     3.91     3.83     1.78    -1.77    -0.11    -0.16     0.14    -0.27   754.33   829.70
     6.00  1000.00     0.00    -0.26    -0.17    -0.37     0.44     5.78     5.86     1.91    -1.92    -0.21    -0.17     0.27    -0.14   877.29   797.84
     6.00 -1000.00     0.00    -0.08    -0.17    -0.51     0.44     5.94     5.86     1.94    -1.92    -0.12    -0.17     0.00    -0.14   718.03   797.84
     6.00     0.00  1000.00    -0.17    -0.08    -0.44     0.51     5.86     5.94     1.92    -1.94    -0.17    -0.12     0.14     0.00   797.84   718.03
     6.00     0.00 -1000.00    -0.17    -0.26    -0.44     0.37     5.86     5.78     1.92    -1.91    -0.17    -0.21     0.14    -0.27   797.84   877.29
     8.00  1000.00     0.00    -0.32    -0.23    -0.53     0.60     7.73     7.81     2.05    -2.07    -0.27    -0.22     0.27    -0.14   925.20   841.67
     8.00 -1000.00     0.00    -0.14    -0.23    -0.68     0.60     7.90     7.81     2.08    -2.07    -0.17    -0.22     0.00    -0.14   757.76   841.67
     8.00     0.00  1000.00    -0.23    -0.14    -0.60     0.68     7.81     7.90     2.07    -2.08    -0.22    -0.17     0.14     0.00   841.67   757.76
     8.00     0.00 -1000.00    -0.23    -0.32    -0.60     0.53     7.81     7.73     2.07    -2.05    -0.22    -0.27     0.14    -0.27   841.67   925.20
    10.00  1000.00     0.00    -0.38    -0.29    -0.70     0.78     9.67     9.76     2.19    -2.21    -0.33    -0.28     0.27    -0.14   973.35   885.74
    10.00 -1000.00     0.00    -0.20    -0.29    -0.85     0.78     9.85     9.76     2.22    -2.21    -0.23    -0.28     0.00    -0.14   797.73   885.74
    10.00     0.00  1000.00    -0.29    -0.20    -0.78     0.85     9.76     9.85     2.21    -2.22    -0.28    -0.23     0.14     0.00   885.74   797.73
