
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE08 front suspension                              

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00   -83.69   116.31    -8.00    -8.00    -1.50    -1.50     0.00     0.00     0.00   668.47   668.47
     0.00     2.00    -1.22   -83.47   115.55    -8.00    -8.09    -1.50    -1.64    -0.09     0.00     1.96   668.47   711.19
     0.00     4.00    -2.45   -83.25   114.79    -8.00    -8.17    -1.50    -1.78    -0.17     0.00     3.91   668.47   754.33
     0.00     6.00    -3.71   -83.03   114.04    -8.00    -8.24    -1.50    -1.92    -0.26     0.00     5.86   668.47   797.84
     0.00     8.00    -4.98   -82.80   113.29    -8.00    -8.30    -1.50    -2.07    -0.35     0.00     7.81   668.47   841.67
     0.00    10.00    -6.27   -82.57   112.54    -8.00    -8.36    -1.50    -2.21    -0.43     0.00     9.76   668.47   885.74
     0.00    12.00    -7.59   -82.33   111.80    -8.00    -8.40    -1.50    -2.35    -0.52     0.00    11.71   668.47   929.96
     0.00    14.00    -8.92   -82.09   111.06    -8.00    -8.44    -1.50    -2.50    -0.60     0.00    13.66   668.47   974.22
     0.00    16.00   -10.27   -81.85   110.32    -8.00    -8.47    -1.50    -2.65    -0.69     0.00    15.61   668.47  1018.39
     0.00    18.00   -11.64   -81.60   109.59    -8.00    -8.50    -1.50    -2.80    -0.78     0.00    17.55   668.47  1062.29
     0.00    20.00   -13.04   -81.35   108.86    -8.00    -8.51    -1.50    -2.94    -0.86     0.00    19.50   668.47  1105.74
     0.00    22.00   -14.46   -81.10   108.13    -8.00    -8.52    -1.50    -3.09    -0.95     0.00    21.45   668.47  1148.49
     0.00    24.00   -15.90   -80.84   107.41    -8.00    -8.53    -1.50    -3.25    -1.04     0.00    23.39   668.47  1190.26
     0.00    26.00   -17.36   -80.58   106.69    -8.00    -8.54    -1.50    -3.40    -1.12     0.00    25.34   668.47  1230.68
     0.00    28.00   -18.85   -80.31   105.97    -8.00    -8.54    -1.50    -3.55    -1.21     0.00    27.29   668.47  1269.34
     0.00    30.00   -20.36   -80.04   105.26    -8.00    -8.55    -1.50    -3.71    -1.29     0.00    29.23   668.47  1305.70
     0.00    32.00   -21.90   -79.76   104.55    -8.00    -8.55    -1.50    -3.86    -1.38     0.00    31.18   668.47  1339.10
     0.00    34.00   -23.47   -79.48   103.84    -8.00    -8.57    -1.50    -4.02    -1.47     0.00    33.14   668.47  1368.75
     0.00    36.00   -25.06   -79.20   103.13    -8.00    -8.60    -1.50    -4.18    -1.56     0.00    35.09   668.47  1393.61
     0.00    38.00   -26.69   -78.90   102.43    -8.00    -8.64    -1.50    -4.34    -1.64     0.00    37.06   668.47  1412.41
     0.00     0.00     0.00   -83.69   116.31    -8.00    -8.00    -1.50    -1.50     0.00     0.00     0.00   668.47   668.47
     0.00    -2.00     1.20   -83.91   117.07    -8.00    -7.90    -1.50    -1.36     0.09     0.00    -1.96   668.47   626.21
     0.00    -4.00     2.38   -84.12   117.83    -8.00    -7.79    -1.50    -1.22     0.17     0.00    -3.91   668.47   584.44
     0.00    -6.00     3.55   -84.33   118.60    -8.00    -7.68    -1.50    -1.09     0.26     0.00    -5.87   668.47   543.18
     0.00    -8.00     4.70   -84.54   119.38    -8.00    -7.55    -1.50    -0.95     0.35     0.00    -7.83   668.47   502.44
     0.00   -10.00     5.83   -84.74   120.15    -8.00    -7.41    -1.50    -0.82     0.43     0.00    -9.80   668.47   462.24
     0.00   -12.00     6.94   -84.94   120.93    -8.00    -7.27    -1.50    -0.68     0.52     0.00   -11.76   668.47   422.57
     0.00   -14.00     8.04   -85.14   121.71    -8.00    -7.12    -1.50    -0.55     0.61     0.00   -13.72   668.47   383.43
     0.00   -16.00     9.13   -85.33   122.49    -8.00    -6.95    -1.50    -0.42     0.69     0.00   -15.69   668.47   344.82
     0.00   -18.00    10.19   -85.52   123.28    -8.00    -6.78    -1.50    -0.29     0.78     0.00   -17.65   668.47   306.73
     0.00   -20.00    11.25   -85.71   124.07    -8.00    -6.60    -1.50    -0.16     0.87     0.00   -19.62   668.47   269.14
     0.00   -22.00    12.28   -85.90   124.86    -8.00    -6.41    -1.50    -0.03     0.95     0.00   -21.59   668.47   232.03
     0.00   -24.00    13.31   -86.08   125.65    -8.00    -6.22    -1.50     0.10     1.04     0.00   -23.56   668.47   195.39
     0.00   -26.00    14.31   -86.26   126.45    -8.00    -6.01    -1.50     0.23     1.13     0.00   -25.53   668.47   159.18
     0.00   -28.00    15.31   -86.44   127.25    -8.00    -5.80    -1.50     0.35     1.22     0.00   -27.50   668.47   123.38
     0.00   -30.00    16.29   -86.62   128.05    -8.00    -5.57    -1.50     0.48     1.30     0.00   -29.48   668.47    87.95
     0.00   -32.00    17.25   -86.79   128.86    -8.00    -5.34    -1.50     0.60     1.39     0.00   -31.45   668.47    52.84
     0.00   -34.00    18.20   -86.96   129.67    -8.00    -5.10    -1.50     0.72     1.48     0.00   -33.43   668.47    18.01
     0.00   -36.00    18.69   -87.05   130.09    -8.00    -4.98    -1.50     0.79     1.52     0.00   -34.45   668.47     0.00
     2.00     0.00     1.22   -83.47   115.55    -8.09    -8.00    -1.64    -1.50     0.09     1.96     0.00   711.19   668.47
     2.00     2.00     0.00   -83.26   114.79    -8.09    -8.09    -1.64    -1.64     0.00     1.96     1.96   711.19   711.19
     2.00     4.00    -1.24   -83.04   114.03    -8.09    -8.17    -1.64    -1.78    -0.09     1.96     3.91   711.19   754.33
     2.00     6.00    -2.49   -82.82   113.27    -8.09    -8.24    -1.64    -1.92    -0.17     1.96     5.86   711.19   797.84
     2.00     8.00    -3.76   -82.59   112.52    -8.09    -8.30    -1.64    -2.07    -0.26     1.96     7.81   711.19   841.67
     2.00    10.00    -5.06   -82.36   111.77    -8.09    -8.36    -1.64    -2.21    -0.35     1.96     9.76   711.19   885.74
     2.00    12.00    -6.37   -82.13   111.02    -8.09    -8.40    -1.64    -2.35    -0.43     1.96    11.71   711.19   929.96
     2.00    14.00    -7.70   -81.90   110.28    -8.09    -8.44    -1.64    -2.50    -0.52     1.96    13.66   711.19   974.22
     2.00    16.00    -9.06   -81.66   109.54    -8.09    -8.47    -1.64    -2.65    -0.60     1.96    15.61   711.19  1018.39
     2.00    18.00   -10.43   -81.41   108.80    -8.09    -8.50    -1.64    -2.80    -0.69     1.96    17.55   711.19  1062.29
     2.00    20.00   -11.83   -81.17   108.07    -8.09    -8.51    -1.64    -2.94    -0.78     1.96    19.50   711.19  1105.74
     2.00    22.00   -13.25   -80.91   107.34    -8.09    -8.52    -1.64    -3.09    -0.86     1.96    21.45   711.19  1148.49
     2.00    24.00   -14.69   -80.66   106.61    -8.09    -8.53    -1.64    -3.25    -0.95     1.96    23.39   711.19  1190.26
     2.00    26.00   -16.15   -80.40   105.89    -8.09    -8.54    -1.64    -3.40    -1.04     1.96    25.34   711.19  1230.68
     2.00    28.00   -17.64   -80.14   105.17    -8.09    -8.54    -1.64    -3.55    -1.12     1.96    27.29   711.19  1269.34
     2.00    30.00   -19.16   -79.87   104.45    -8.09    -8.55    -1.64    -3.71    -1.21     1.96    29.23   711.19  1305.70
     2.00    32.00   -20.70   -79.59   103.74    -8.09    -8.55    -1.64    -3.86    -1.30     1.96    31.18   711.19  1339.10
     2.00    34.00   -22.27   -79.32   103.03    -8.09    -8.57    -1.64    -4.02    -1.38     1.96    33.14   711.19  1368.75
     2.00    36.00   -23.87   -79.03   102.32    -8.09    -8.60    -1.64    -4.18    -1.47     1.96    35.09   711.19  1393.61
     2.00    38.00   -25.50   -78.74   101.61    -8.09    -8.64    -1.64    -4.34    -1.56     1.96    37.06   711.19  1412.41
     2.00     0.00     1.22   -83.47   115.55    -8.09    -8.00    -1.64    -1.50     0.09     1.96     0.00   711.19   668.47
     2.00    -2.00     2.42   -83.69   116.31    -8.09    -7.90    -1.64    -1.36     0.17     1.96    -1.96   711.19   626.21
     2.00    -4.00     3.60   -83.90   117.08    -8.09    -7.79    -1.64    -1.22     0.26     1.96    -3.91   711.19   584.44
     2.00    -6.00     4.76   -84.10   117.85    -8.09    -7.68    -1.64    -1.09     0.35     1.96    -5.87   711.19   543.18
     2.00    -8.00     5.91   -84.31   118.63    -8.09    -7.55    -1.64    -0.95     0.43     1.96    -7.83   711.19   502.44
     2.00   -10.00     7.04   -84.51   119.41    -8.09    -7.41    -1.64    -0.82     0.52     1.96    -9.80   711.19   462.24
     2.00   -12.00     8.16   -84.70   120.19    -8.09    -7.27    -1.64    -0.68     0.61     1.96   -11.76   711.19   422.57
     2.00   -14.00     9.26   -84.90   120.97    -8.09    -7.12    -1.64    -0.55     0.69     1.96   -13.72   711.19   383.43
     2.00   -16.00    10.34   -85.09   121.76    -8.09    -6.95    -1.64    -0.42     0.78     1.96   -15.69   711.19   344.82
     2.00   -18.00    11.41   -85.28   122.54    -8.09    -6.78    -1.64    -0.29     0.87     1.96   -17.65   711.19   306.73
     2.00   -20.00    12.46   -85.46   123.34    -8.09    -6.60    -1.64    -0.16     0.95     1.96   -19.62   711.19   269.14
     2.00   -22.00    13.49   -85.65   124.13    -8.09    -6.41    -1.64    -0.03     1.04     1.96   -21.59   711.19   232.03
     2.00   -24.00    14.51   -85.83   124.93    -8.09    -6.22    -1.64     0.10     1.13     1.96   -23.56   711.19   195.39
     2.00   -26.00    15.52   -86.01   125.73    -8.09    -6.01    -1.64     0.23     1.21     1.96   -25.53   711.19   159.18
     2.00   -28.00    16.51   -86.18   126.53    -8.09    -5.80    -1.64     0.35     1.30     1.96   -27.50   711.19   123.38
     2.00   -30.00    17.49   -86.36   127.34    -8.09    -5.57    -1.64     0.48     1.39     1.96   -29.48   711.19    87.95
     2.00   -32.00    18.45   -86.53   128.14    -8.09    -5.34    -1.64     0.60     1.48     1.96   -31.45   711.19    52.84
     2.00   -34.00    19.40   -86.69   128.95    -8.09    -5.10    -1.64     0.72     1.56     1.96   -33.43   711.19    18.01
     2.00   -36.00    19.89   -86.78   129.38    -8.09    -4.98    -1.64     0.79     1.61     1.96   -34.45   711.19     0.00
     4.00     0.00     2.45   -83.25   114.79    -8.17    -8.00    -1.78    -1.50     0.17     3.91     0.00   754.33   668.47
     4.00     2.00     1.24   -83.04   114.03    -8.17    -8.09    -1.78    -1.64     0.09     3.91     1.96   754.33   711.19
     4.00     4.00     0.00   -82.82   113.26    -8.17    -8.17    -1.78    -1.78     0.00     3.91     3.91   754.33   754.33
     4.00     6.00    -1.25   -82.61   112.50    -8.17    -8.24    -1.78    -1.92    -0.09     3.91     5.86   754.33   797.84
     4.00     8.00    -2.53   -82.38   111.75    -8.17    -8.30    -1.78    -2.07    -0.17     3.91     7.81   754.33   841.67
