
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE06 rear suspension                               

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00   -42.78   157.22    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   712.01   712.01
     0.00     2.00     1.74   -43.24   156.01    12.00    12.63    -1.30    -1.44    -0.07     0.00     1.51   712.01   759.48
     0.00     4.00     3.49   -43.70   154.80    12.00    13.26    -1.30    -1.58    -0.14     0.00     3.01   712.01   807.18
     0.00     6.00     5.27   -44.17   153.58    12.00    13.87    -1.30    -1.72    -0.22     0.00     4.51   712.01   855.09
     0.00     8.00     7.07   -44.64   152.36    12.00    14.46    -1.30    -1.86    -0.29     0.00     6.00   712.01   903.19
     0.00    10.00     8.89   -45.11   151.13    12.00    15.05    -1.30    -2.00    -0.36     0.00     7.49   712.01   951.46
     0.00    12.00    10.73   -45.60   149.90    12.00    15.62    -1.30    -2.13    -0.43     0.00     8.99   712.01   999.89
     0.00    14.00    12.60   -46.09   148.66    12.00    16.18    -1.30    -2.27    -0.51     0.00    10.47   712.01  1048.43
     0.00    16.00    14.50   -46.58   147.41    12.00    16.73    -1.30    -2.41    -0.58     0.00    11.96   712.01  1097.07
     0.00    18.00    16.42   -47.09   146.16    12.00    17.27    -1.30    -2.55    -0.65     0.00    13.45   712.01  1145.77
     0.00    20.00    18.37   -47.60   144.90    12.00    17.79    -1.30    -2.69    -0.72     0.00    14.93   712.01  1194.50
     0.00    22.00    20.34   -48.12   143.63    12.00    18.30    -1.30    -2.82    -0.79     0.00    16.41   712.01  1243.22
     0.00    24.00    22.35   -48.64   142.36    12.00    18.80    -1.30    -2.96    -0.87     0.00    17.90   712.01  1291.88
     0.00    26.00    24.39   -49.17   141.07    12.00    19.28    -1.30    -3.10    -0.94     0.00    19.38   712.01  1340.43
     0.00    28.00    26.46   -49.72   139.78    12.00    19.76    -1.30    -3.24    -1.01     0.00    20.86   712.01  1388.83
     0.00    30.00    28.56   -50.27   138.47    12.00    20.22    -1.30    -3.38    -1.08     0.00    22.35   712.01  1437.02
     0.00    32.00    30.70   -50.83   137.16    12.00    20.66    -1.30    -3.51    -1.15     0.00    23.84   712.01  1484.92
     0.00     0.00     0.00   -42.78   157.22    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   712.01   712.01
