
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           FSE06 rear suspension                               

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.01     0.00    -0.08     0.00     1.27     0.00     1.46    -1.30     0.06     0.00    -0.34     0.20   589.98   712.01
     0.00  -100.00     0.00    -0.01     0.00     0.08     0.00    -1.28     0.00     1.13    -1.30    -0.06     0.00    -0.06     0.20   834.44   712.01
     0.00     0.00   100.00     0.00    -0.01     0.00    -0.08     0.00    -1.28     1.30    -1.13     0.00    -0.06    -0.20     0.06   712.01   834.44
     0.00     0.00  -100.00     0.00     0.01     0.00     0.08     0.00     1.27     1.30    -1.46     0.00     0.06    -0.20     0.34   712.01   589.98
     2.00   100.00     0.00    -0.06    -0.07    -0.18     0.09     2.77     1.51     1.60    -1.44     0.13     0.07    -0.35     0.21   637.74   759.48
     2.00  -100.00     0.00    -0.08    -0.07    -0.01     0.09     0.23     1.51     1.27    -1.44     0.01     0.07    -0.07     0.21   881.60   759.48
     2.00     0.00   100.00    -0.07    -0.08    -0.09     0.01     1.51     0.23     1.44    -1.27     0.07     0.01    -0.21     0.07   759.48   881.60
     2.00     0.00  -100.00    -0.07    -0.06    -0.09     0.18     1.51     2.77     1.44    -1.60     0.07     0.13    -0.21     0.35   759.48   637.74
     4.00   100.00     0.00    -0.14    -0.15    -0.28     0.19     4.27     3.01     1.74    -1.58     0.20     0.14    -0.36     0.22   685.72   807.18
     4.00  -100.00     0.00    -0.16    -0.15    -0.11     0.19     1.74     3.01     1.41    -1.58     0.08     0.14    -0.08     0.22   928.99   807.18
     4.00     0.00   100.00    -0.15    -0.16    -0.19     0.11     3.01     1.74     1.58    -1.41     0.14     0.08    -0.22     0.08   807.18   928.99
     4.00     0.00  -100.00    -0.15    -0.14    -0.19     0.28     3.01     4.27     1.58    -1.74     0.14     0.20    -0.22     0.36   807.18   685.72
     6.00   100.00     0.00    -0.21    -0.22    -0.39     0.30     5.76     4.51     1.88    -1.72     0.27     0.21    -0.37     0.23   733.90   855.09
     6.00  -100.00     0.00    -0.23    -0.22    -0.21     0.30     3.24     4.51     1.55    -1.72     0.15     0.21    -0.09     0.23   976.62   855.09
     6.00     0.00   100.00    -0.22    -0.23    -0.30     0.21     4.51     3.24     1.72    -1.55     0.21     0.15    -0.23     0.09   855.09   976.62
     6.00     0.00  -100.00    -0.22    -0.21    -0.30     0.39     4.51     5.76     1.72    -1.88     0.21     0.27    -0.23     0.37   855.09   733.90
     8.00   100.00     0.00    -0.29    -0.30    -0.51     0.41     7.26     6.00     2.02    -1.86     0.34     0.28    -0.38     0.24   782.24   903.19
     8.00  -100.00     0.00    -0.31    -0.30    -0.31     0.41     4.74     6.00     1.69    -1.86     0.22     0.28    -0.11     0.24  1024.46   903.19
     8.00     0.00   100.00    -0.30    -0.31    -0.41     0.31     6.00     4.74     1.86    -1.69     0.28     0.22    -0.24     0.11   903.19  1024.46
     8.00     0.00  -100.00    -0.30    -0.29    -0.41     0.51     6.00     7.26     1.86    -2.02     0.28     0.34    -0.24     0.38   903.19   782.24
    10.00   100.00     0.00    -0.36    -0.37    -0.63     0.53     8.75     7.49     2.16    -2.00     0.41     0.35    -0.38     0.25   830.73   951.46
    10.00  -100.00     0.00    -0.38    -0.37    -0.43     0.53     6.24     7.49     1.83    -2.00     0.29     0.35    -0.12     0.25  1072.49   951.46
    10.00     0.00   100.00    -0.37    -0.38    -0.53     0.43     7.49     6.24     2.00    -1.83     0.35     0.29    -0.25     0.12   951.46  1072.49
    10.00     0.00  -100.00    -0.37    -0.36    -0.53     0.63     7.49     8.75     2.00    -2.16     0.35     0.41    -0.25     0.38   951.46   830.73
    12.00   100.00     0.00    -0.44    -0.45    -0.76     0.65    10.23     8.99     2.29    -2.13     0.48     0.42    -0.39     0.26   879.35   999.89
    12.00  -100.00     0.00    -0.45    -0.45    -0.54     0.65     7.73     8.99     1.97    -2.13     0.36     0.42    -0.13     0.26  1120.70   999.89
    12.00     0.00   100.00    -0.45    -0.45    -0.65     0.54     8.99     7.73     2.13    -1.97     0.42     0.36    -0.26     0.13   999.89  1120.70
    12.00     0.00  -100.00    -0.45    -0.44    -0.65     0.76     8.99    10.23     2.13    -2.29     0.42     0.48    -0.26     0.39   999.89   879.35
    14.00   100.00     0.00    -0.51    -0.52    -0.89     0.78    11.72    10.47     2.43    -2.27     0.56     0.49    -0.40     0.27   928.06  1048.43
    14.00  -100.00     0.00    -0.53    -0.52    -0.67     0.78     9.22    10.47     2.11    -2.27     0.43     0.49    -0.14     0.27  1169.05  1048.43
