
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           FSE06 rear suspension                               

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.02     0.00    -0.04     0.00     0.63     0.00     1.36    -1.30     0.40     0.00    -0.31     0.20   651.07   712.01
     0.00  -100.00     0.00     0.02     0.00     0.04     0.00    -0.64     0.00     1.24    -1.30    -0.40     0.00    -0.09     0.20   773.08   712.01
     0.00     0.00   100.00     0.00    -0.02     0.00     0.04     0.00     0.63     1.30    -1.36     0.00     0.40    -0.20     0.31   712.01   651.07
     0.00     0.00  -100.00     0.00     0.02     0.00    -0.04     0.00    -0.64     1.30    -1.24     0.00    -0.40    -0.20     0.09   712.01   773.08
     2.00   100.00     0.00    -0.09    -0.07    -0.13     0.09     2.14     1.51     1.50    -1.44     0.47     0.07    -0.32     0.21   698.59   759.48
     2.00  -100.00     0.00    -0.06    -0.07    -0.06     0.09     0.87     1.51     1.38    -1.44    -0.33     0.07    -0.10     0.21   820.49   759.48
     2.00     0.00   100.00    -0.07    -0.09    -0.09     0.13     1.51     2.14     1.44    -1.50     0.07     0.47    -0.21     0.32   759.48   698.59
     2.00     0.00  -100.00    -0.07    -0.06    -0.09     0.06     1.51     0.87     1.44    -1.38     0.07    -0.33    -0.21     0.10   759.48   820.49
     4.00   100.00     0.00    -0.17    -0.15    -0.23     0.19     3.63     3.01     1.64    -1.58     0.54     0.14    -0.33     0.22   746.34   807.18
     4.00  -100.00     0.00    -0.13    -0.15    -0.15     0.19     2.37     3.01     1.52    -1.58    -0.26     0.14    -0.11     0.22   868.13   807.18
     4.00     0.00   100.00    -0.15    -0.17    -0.19     0.23     3.01     3.63     1.58    -1.64     0.14     0.54    -0.22     0.33   807.18   746.34
     4.00     0.00  -100.00    -0.15    -0.13    -0.19     0.15     3.01     2.37     1.58    -1.52     0.14    -0.26    -0.22     0.11   807.18   868.13
     6.00   100.00     0.00    -0.24    -0.22    -0.34     0.30     5.13     4.51     1.78    -1.72     0.61     0.21    -0.34     0.23   794.29   855.09
     6.00  -100.00     0.00    -0.21    -0.22    -0.25     0.30     3.87     4.51     1.66    -1.72    -0.19     0.21    -0.12     0.23   916.00   855.09
     6.00     0.00   100.00    -0.22    -0.24    -0.30     0.34     4.51     5.13     1.72    -1.78     0.21     0.61    -0.23     0.34   855.09   794.29
     6.00     0.00  -100.00    -0.22    -0.21    -0.30     0.25     4.51     3.87     1.72    -1.66     0.21    -0.19    -0.23     0.12   855.09   916.00
     8.00   100.00     0.00    -0.31    -0.30    -0.46     0.41     6.63     6.00     1.92    -1.86     0.68     0.28    -0.35     0.24   842.43   903.19
     8.00  -100.00     0.00    -0.28    -0.30    -0.36     0.41     5.37     6.00     1.80    -1.86    -0.12     0.28    -0.13     0.24   964.06   903.19
     8.00     0.00   100.00    -0.30    -0.31    -0.41     0.46     6.00     6.63     1.86    -1.92     0.28     0.68    -0.24     0.35   903.19   842.43
     8.00     0.00  -100.00    -0.30    -0.28    -0.41     0.36     6.00     5.37     1.86    -1.80     0.28    -0.12    -0.24     0.13   903.19   964.06
    10.00   100.00     0.00    -0.39    -0.37    -0.58     0.53     8.12     7.49     2.05    -2.00     0.75     0.35    -0.36     0.25   890.73   951.46
    10.00  -100.00     0.00    -0.36    -0.37    -0.48     0.53     6.86     7.49     1.93    -2.00    -0.05     0.35    -0.14     0.25  1012.31   951.46
    10.00     0.00   100.00    -0.37    -0.39    -0.53     0.58     7.49     8.12     2.00    -2.05     0.35     0.75    -0.25     0.36   951.46   890.73
    10.00     0.00  -100.00    -0.37    -0.36    -0.53     0.48     7.49     6.86     2.00    -1.93     0.35    -0.05    -0.25     0.14   951.46  1012.31
    12.00   100.00     0.00    -0.46    -0.45    -0.70     0.65     9.61     8.99     2.19    -2.13     0.83     0.42    -0.37     0.26   939.17   999.89
    12.00  -100.00     0.00    -0.43    -0.45    -0.60     0.65     8.36     8.99     2.07    -2.13     0.02     0.42    -0.15     0.26  1060.72   999.89
    12.00     0.00   100.00    -0.45    -0.46    -0.65     0.70     8.99     9.61     2.13    -2.19     0.42     0.83    -0.26     0.37   999.89   939.17
    12.00     0.00  -100.00    -0.45    -0.43    -0.65     0.60     8.99     8.36     2.13    -2.07     0.42     0.02    -0.26     0.15   999.89  1060.72
    14.00   100.00     0.00    -0.53    -0.52    -0.83     0.78    11.09    10.47     2.33    -2.27     0.90     0.49    -0.38     0.27   987.71  1048.43
    14.00  -100.00     0.00    -0.51    -0.52    -0.72     0.78     9.85    10.47     2.21    -2.27     0.09     0.49    -0.16     0.27  1109.25  1048.43
    14.00     0.00   100.00    -0.52    -0.53    -0.78     0.83    10.47    11.09     2.27    -2.33     0.49     0.90    -0.27     0.38  1048.43   987.71
    14.00     0.00  -100.00    -0.52    -0.51    -0.78     0.72    10.47     9.85     2.27    -2.21     0.49     0.09    -0.27     0.16  1048.43  1109.25
    16.00   100.00     0.00    -0.61    -0.60    -0.97     0.91    12.58    11.96     2.47    -2.41     0.97     0.56    -0.39     0.28  1036.34  1097.07
    16.00  -100.00     0.00    -0.58    -0.60    -0.86     0.91    11.33    11.96     2.35    -2.41     0.16     0.56    -0.16     0.28  1157.90  1097.07
    16.00     0.00   100.00    -0.60    -0.61    -0.91     0.97    11.96    12.58     2.41    -2.47     0.56     0.97    -0.28     0.39  1097.07  1036.34
    16.00     0.00  -100.00    -0.60    -0.58    -0.91     0.86    11.96    11.33     2.41    -2.35     0.56     0.16    -0.28     0.16  1097.07  1157.90
    18.00   100.00     0.00    -0.68    -0.67    -1.11     1.05    14.06    13.45     2.61    -2.55     1.04     0.63    -0.40     0.29  1085.02  1145.77
    18.00  -100.00     0.00    -0.66    -0.67    -0.99     1.05    12.82    13.45     2.49    -2.55     0.23     0.63    -0.17     0.29  1206.62  1145.77
    18.00     0.00   100.00    -0.67    -0.68    -1.05     1.11    13.45    14.06     2.55    -2.61     0.63     1.04    -0.29     0.40  1145.77  1085.02
    18.00     0.00  -100.00    -0.67    -0.66    -1.05     0.99    13.45    12.82     2.55    -2.49     0.63     0.23    -0.29     0.17  1145.77  1206.62
    20.00   100.00     0.00    -0.76    -0.75    -1.26     1.20    15.55    14.93     2.74    -2.69     1.11     0.71    -0.41     0.30  1133.70  1194.50
    20.00  -100.00     0.00    -0.73    -0.75    -1.14     1.20    14.31    14.93     2.63    -2.69     0.30     0.71    -0.18     0.30  1255.39  1194.50
    20.00     0.00   100.00    -0.75    -0.76    -1.20     1.26    14.93    15.55     2.69    -2.74     0.71     1.11    -0.30     0.41  1194.50  1133.70
    20.00     0.00  -100.00    -0.75    -0.73    -1.20     1.14    14.93    14.31     2.69    -2.63     0.71     0.30    -0.30     0.18  1194.50  1255.39
    22.00   100.00     0.00    -0.83    -0.82    -1.41     1.35    17.03    16.41     2.88    -2.82     1.18     0.78    -0.42     0.31  1182.36  1243.22
    22.00  -100.00     0.00    -0.81    -0.82    -1.29     1.35    15.79    16.41     2.76    -2.82     0.37     0.78    -0.19     0.31  1304.16  1243.22
    22.00     0.00   100.00    -0.82    -0.83    -1.35     1.41    16.41    17.03     2.82    -2.88     0.78     1.18    -0.31     0.42  1243.22  1182.36
    22.00     0.00  -100.00    -0.82    -0.81    -1.35     1.29    16.41    15.79     2.82    -2.76     0.78     0.37    -0.31     0.19  1243.22  1304.16
    24.00   100.00     0.00    -0.90    -0.90    -1.58     1.51    18.51    17.90     3.02    -2.96     1.25     0.85    -0.43     0.31  1230.94  1291.88
    24.00  -100.00     0.00    -0.89    -0.90    -1.44     1.51    17.27    17.90     2.90    -2.96     0.44     0.85    -0.19     0.31  1352.89  1291.88
    24.00     0.00   100.00    -0.90    -0.90    -1.51     1.58    17.90    18.51     2.96    -3.02     0.85     1.25    -0.31     0.43  1291.88  1230.94
    24.00     0.00  -100.00    -0.90    -0.89    -1.51     1.44    17.90    17.27     2.96    -2.90     0.85     0.44    -0.31     0.19  1291.88  1352.89
    26.00   100.00     0.00    -0.98    -0.97    -1.74     1.67    19.99    19.38     3.16    -3.10     1.33     0.92    -0.44     0.32  1279.40  1340.43
    26.00  -100.00     0.00    -0.96    -0.97    -1.60     1.67    18.76    19.38     3.04    -3.10     0.51     0.92    -0.20     0.32  1401.54  1340.43
    26.00     0.00   100.00    -0.97    -0.98    -1.67     1.74    19.38    19.99     3.10    -3.16     0.92     1.33    -0.32     0.44  1340.43  1279.40
    26.00     0.00  -100.00    -0.97    -0.96    -1.67     1.60    19.38    18.76     3.10    -3.04     0.92     0.51    -0.32     0.20  1340.43  1401.54
    28.00   100.00     0.00    -1.05    -1.05    -1.91     1.84    21.48    20.86     3.30    -3.24     1.40     0.99    -0.45     0.33  1327.67  1388.83
    28.00  -100.00     0.00    -1.04    -1.05    -1.77     1.84    20.24    20.86     3.18    -3.24     0.58     0.99    -0.21     0.33  1450.06  1388.83
    28.00     0.00   100.00    -1.05    -1.05    -1.84     1.91    20.86    21.48     3.24    -3.30     0.99     1.40    -0.33     0.45  1388.83  1327.67
    28.00     0.00  -100.00    -1.05    -1.04    -1.84     1.77    20.86    20.24     3.24    -3.18     0.99     0.58    -0.33     0.21  1388.83  1450.06
    30.00   100.00     0.00    -1.13    -1.12    -2.09     2.02    22.96    22.35     3.43    -3.38     1.47     1.06    -0.46     0.34  1375.70  1437.02
    30.00  -100.00     0.00    -1.12    -1.12    -1.94     2.02    21.73    22.35     3.32    -3.38     0.65     1.06    -0.21     0.34  1498.39  1437.02
    30.00     0.00   100.00    -1.12    -1.13    -2.02     2.09    22.35    22.96     3.38    -3.43     1.06     1.47    -0.34     0.46  1437.02  1375.70
    30.00     0.00  -100.00    -1.12    -1.12    -2.02     1.94    22.35    21.73     3.38    -3.32     1.06     0.65    -0.34     0.21  1437.02  1498.39
    32.00   100.00     0.00    -1.20    -1.20    -2.28     2.20    24.45    23.84     3.57    -3.51     1.54     1.13    -0.47     0.34  1423.42  1484.92
    32.00  -100.00     0.00    -1.19    -1.20    -2.12     2.20    23.21    23.84     3.45    -3.51     0.73     1.13    -0.22     0.34  1546.46  1484.92
    32.00     0.00   100.00    -1.20    -1.20    -2.20     2.28    23.84    24.45     3.51    -3.57     1.13     1.54    -0.34     0.47  1484.92  1423.42
    32.00     0.00  -100.00    -1.20    -1.19    -2.20     2.12    23.84    23.21     3.51    -3.45     1.13     0.73    -0.34     0.22  1484.92  1546.46
    -2.00   100.00     0.00     0.05     0.07     0.05    -0.09    -0.87    -1.51     1.22    -1.16     0.33    -0.07    -0.29     0.19   603.78   664.79
