
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE05 rear suspension                               

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.61     0.00     0.03     0.00    -0.26     0.00     1.33    -1.30     0.03     0.00    -0.58     0.20   765.76   728.86
     0.00 -1000.00     0.00    -0.61     0.00    -0.03     0.00     0.26     0.00     1.27    -1.30    -0.03     0.00     0.18     0.20   692.09   728.86
     0.00     0.00  1000.00     0.00     0.61     0.00    -0.03     0.00    -0.26     1.30    -1.33     0.00     0.03    -0.20     0.58   728.86   765.76
     0.00     0.00 -1000.00     0.00    -0.61     0.00     0.03     0.00     0.26     1.30    -1.27     0.00    -0.03    -0.20    -0.18   728.86   692.09
     2.00  1000.00     0.00     0.53    -0.07    -0.11     0.14     1.17     1.43     1.39    -1.36     0.08     0.05    -0.57     0.20   845.30   808.21
     2.00 -1000.00     0.00    -0.68    -0.07    -0.17     0.14     1.70     1.43     1.33    -1.36     0.02     0.05     0.18     0.20   771.23   808.21
     2.00     0.00  1000.00    -0.07     0.53    -0.14     0.11     1.43     1.17     1.36    -1.39     0.05     0.08    -0.20     0.57   808.21   845.30
     2.00     0.00 -1000.00    -0.07    -0.68    -0.14     0.17     1.43     1.70     1.36    -1.33     0.05     0.02    -0.20    -0.18   808.21   771.23
     4.00  1000.00     0.00     0.46    -0.15    -0.26     0.29     2.60     2.87     1.46    -1.43     0.13     0.10    -0.57     0.19   924.34   887.02
     4.00 -1000.00     0.00    -0.75    -0.15    -0.32     0.29     3.14     2.87     1.40    -1.43     0.06     0.10     0.18     0.19   849.82   887.02
     4.00     0.00  1000.00    -0.15     0.46    -0.29     0.26     2.87     2.60     1.43    -1.46     0.10     0.13    -0.19     0.57   887.02   924.34
     4.00     0.00 -1000.00    -0.15    -0.75    -0.29     0.32     2.87     3.14     1.43    -1.40     0.10     0.06    -0.19    -0.18   887.02   849.82
     6.00  1000.00     0.00     0.38    -0.22    -0.41     0.44     4.04     4.31     1.52    -1.49     0.18     0.15    -0.57     0.19  1002.78   965.22
     6.00 -1000.00     0.00    -0.83    -0.22    -0.48     0.44     4.58     4.31     1.46    -1.49     0.11     0.15     0.18     0.19   927.77   965.22
     6.00     0.00  1000.00    -0.22     0.38    -0.44     0.41     4.31     4.04     1.49    -1.52     0.15     0.18    -0.19     0.57   965.22  1002.78
     6.00     0.00 -1000.00    -0.22    -0.83    -0.44     0.48     4.31     4.58     1.49    -1.46     0.15     0.11    -0.19    -0.18   965.22   927.77
     8.00  1000.00     0.00     0.31    -0.30    -0.57     0.60     5.49     5.76     1.59    -1.56     0.23     0.20    -0.56     0.19  1080.52  1042.69
     8.00 -1000.00     0.00    -0.90    -0.30    -0.64     0.60     6.03     5.76     1.53    -1.56     0.16     0.20     0.19     0.19  1004.96  1042.69
     8.00     0.00  1000.00    -0.30     0.31    -0.60     0.57     5.76     5.49     1.56    -1.59     0.20     0.23    -0.19     0.56  1042.69  1080.52
     8.00     0.00 -1000.00    -0.30    -0.90    -0.60     0.64     5.76     6.03     1.56    -1.53     0.20     0.16    -0.19    -0.19  1042.69  1004.96
    10.00  1000.00     0.00     0.23    -0.37    -0.74     0.77     6.94     7.21     1.65    -1.62     0.28     0.25    -0.56     0.18  1157.43  1119.30
    10.00 -1000.00     0.00    -0.98    -0.37    -0.81     0.77     7.48     7.21     1.59    -1.62     0.21     0.25     0.19     0.18  1081.26  1119.30
    10.00     0.00  1000.00    -0.37     0.23    -0.77     0.74     7.21     6.94     1.62    -1.65     0.25     0.28    -0.18     0.56  1119.30  1157.43
