
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE05 rear suspension                               

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.03     0.00     0.10     0.00    -0.49     0.00     1.28    -1.30    -0.01     0.00    -0.21     0.20   797.10   728.86
     0.00 -1000.00     0.00    -0.03     0.00    -0.10     0.00     0.50     0.00     1.32    -1.30     0.01     0.00    -0.19     0.20   658.52   728.86
     0.00     0.00  1000.00     0.00    -0.03     0.00     0.10     0.00     0.50     1.30    -1.32     0.00     0.01    -0.20     0.19   728.86   658.52
     0.00     0.00 -1000.00     0.00     0.03     0.00    -0.10     0.00    -0.49     1.30    -1.28     0.00    -0.01    -0.20     0.21   728.86   797.10
     2.00  1000.00     0.00    -0.04    -0.07    -0.04     0.14     0.92     1.43     1.34    -1.36     0.04     0.05    -0.20     0.20   879.50   808.21
     2.00 -1000.00     0.00    -0.11    -0.07    -0.24     0.14     1.96     1.43     1.39    -1.36     0.06     0.05    -0.19     0.20   734.69   808.21
     2.00     0.00  1000.00    -0.07    -0.11    -0.14     0.24     1.43     1.96     1.36    -1.39     0.05     0.06    -0.20     0.19   808.21   734.69
     2.00     0.00 -1000.00    -0.07    -0.04    -0.14     0.04     1.43     0.92     1.36    -1.34     0.05     0.04    -0.20     0.20   808.21   879.50
     4.00  1000.00     0.00    -0.12    -0.15    -0.19     0.29     2.34     2.87     1.40    -1.43     0.09     0.10    -0.20     0.19   961.43   887.02
     4.00 -1000.00     0.00    -0.18    -0.15    -0.40     0.29     3.42     2.87     1.45    -1.43     0.11     0.10    -0.19     0.19   810.28   887.02
     4.00     0.00  1000.00    -0.15    -0.18    -0.29     0.40     2.87     3.42     1.43    -1.45     0.10     0.11    -0.19     0.19   887.02   810.28
     4.00     0.00 -1000.00    -0.15    -0.12    -0.29     0.19     2.87     2.34     1.43    -1.40     0.10     0.09    -0.19     0.20   887.02   961.43
     6.00  1000.00     0.00    -0.19    -0.22    -0.34     0.44     3.76     4.31     1.47    -1.49     0.13     0.15    -0.20     0.19  1042.80   965.22
     6.00 -1000.00     0.00    -0.26    -0.22    -0.56     0.44     4.88     4.31     1.52    -1.49     0.16     0.15    -0.18     0.19   885.18   965.22
     6.00     0.00  1000.00    -0.22    -0.26    -0.44     0.56     4.31     4.88     1.49    -1.52     0.15     0.16    -0.19     0.18   965.22   885.18
     6.00     0.00 -1000.00    -0.22    -0.19    -0.44     0.34     4.31     3.76     1.49    -1.47     0.15     0.13    -0.19     0.20   965.22  1042.80
     8.00  1000.00     0.00    -0.26    -0.30    -0.49     0.60     5.18     5.76     1.53    -1.56     0.18     0.20    -0.19     0.19  1123.52  1042.69
     8.00 -1000.00     0.00    -0.33    -0.30    -0.72     0.60     6.35     5.76     1.58    -1.56     0.21     0.20    -0.18     0.19   959.27  1042.69
     8.00     0.00  1000.00    -0.30    -0.33    -0.60     0.72     5.76     6.35     1.56    -1.58     0.20     0.21    -0.19     0.18  1042.69   959.27
     8.00     0.00 -1000.00    -0.30    -0.26    -0.60     0.49     5.76     5.18     1.56    -1.53     0.20     0.18    -0.19     0.19  1042.69  1123.52
    10.00  1000.00     0.00    -0.34    -0.37    -0.65     0.77     6.61     7.21     1.59    -1.62     0.23     0.25    -0.19     0.18  1203.45  1119.30
    10.00 -1000.00     0.00    -0.41    -0.37    -0.89     0.77     7.83     7.21     1.65    -1.62     0.26     0.25    -0.18     0.18  1032.40  1119.30
    10.00     0.00  1000.00    -0.37    -0.41    -0.77     0.89     7.21     7.83     1.62    -1.65     0.25     0.26    -0.18     0.18  1119.30  1032.40
