
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE05 rear suspension                               

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.27     0.00    -0.53     0.00     5.13     0.00     1.53    -1.30     0.17     0.00    -0.19     0.20    10.29   728.86
     0.00 -1000.00     0.00     0.26     0.00     0.46     0.00    -5.10     0.00     1.07    -1.30    -0.17     0.00    -0.20     0.20  1443.08   728.86
     0.00     0.00  1000.00     0.00    -0.27     0.00     0.53     0.00     5.13     1.30    -1.53     0.00     0.17    -0.20     0.19   728.86    10.29
     0.00     0.00 -1000.00     0.00     0.26     0.00    -0.46     0.00    -5.10     1.30    -1.07     0.00    -0.17    -0.20     0.20   728.86  1443.08
     2.00  1000.00     0.00    -0.34    -0.07    -0.70     0.14     6.58     1.43     1.59    -1.36     0.22     0.05    -0.18     0.20    87.49   808.21
     2.00 -1000.00     0.00     0.19    -0.07     0.34     0.14    -3.68     1.43     1.14    -1.36    -0.13     0.05    -0.20     0.20  1523.48   808.21
     2.00     0.00  1000.00    -0.07    -0.34    -0.14     0.70     1.43     6.58     1.36    -1.59     0.05     0.22    -0.20     0.18   808.21    87.49
     2.00     0.00 -1000.00    -0.07     0.19    -0.14    -0.34     1.43    -3.68     1.36    -1.14     0.05    -0.13    -0.20     0.20   808.21  1523.48
     4.00  1000.00     0.00    -0.42    -0.15    -0.87     0.29     8.03     2.87     1.66    -1.43     0.27     0.10    -0.18     0.19   163.76   887.02
     4.00 -1000.00     0.00     0.11    -0.15     0.21     0.29    -2.25     2.87     1.20    -1.43    -0.08     0.10    -0.20     0.19  1603.62   887.02
     4.00     0.00  1000.00    -0.15    -0.42    -0.29     0.87     2.87     8.03     1.43    -1.66     0.10     0.27    -0.19     0.18   887.02   163.76
     4.00     0.00 -1000.00    -0.15     0.11    -0.29    -0.21     2.87    -2.25     1.43    -1.20     0.10    -0.08    -0.19     0.20   887.02  1603.62
     6.00  1000.00     0.00    -0.50    -0.22    -1.05     0.44     9.49     4.31     1.72    -1.49     0.32     0.15    -0.17     0.19   238.94   965.22
     6.00 -1000.00     0.00     0.04    -0.22     0.08     0.44    -0.82     4.31     1.26    -1.49    -0.03     0.15    -0.20     0.19  1683.43   965.22
     6.00     0.00  1000.00    -0.22    -0.50    -0.44     1.05     4.31     9.49     1.49    -1.72     0.15     0.32    -0.19     0.17   965.22   238.94
     6.00     0.00 -1000.00    -0.22     0.04    -0.44    -0.08     4.31    -0.82     1.49    -1.26     0.15    -0.03    -0.19     0.20   965.22  1683.43
     8.00  1000.00     0.00    -0.57    -0.30    -1.23     0.60    10.96     5.76     1.79    -1.56     0.37     0.20    -0.17     0.19   312.84  1042.69
     8.00 -1000.00     0.00    -0.03    -0.30    -0.06     0.60     0.61     5.76     1.33    -1.56     0.02     0.20    -0.20     0.19  1762.84  1042.69
     8.00     0.00  1000.00    -0.30    -0.57    -0.60     1.23     5.76    10.96     1.56    -1.79     0.20     0.37    -0.19     0.17  1042.69   312.84
     8.00     0.00 -1000.00    -0.30    -0.03    -0.60     0.06     5.76     0.61     1.56    -1.33     0.20     0.02    -0.19     0.20  1042.69  1762.84
    10.00  1000.00     0.00    -0.65    -0.37    -1.43     0.77    12.45     7.21     1.85    -1.62     0.42     0.25    -0.16     0.18   385.26  1119.30
    10.00 -1000.00     0.00    -0.11    -0.37    -0.20     0.77     2.05     7.21     1.39    -1.62     0.07     0.25    -0.20     0.18  1841.77  1119.30
    10.00     0.00  1000.00    -0.37    -0.65    -0.77     1.43     7.21    12.45     1.62    -1.85     0.25     0.42    -0.18     0.16  1119.30   385.26
