
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             FSE05 rear suspension                               

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00    12.00    -1.30     0.00     0.00     0.00  -168.99    31.01    13.94    32.45    25.89     4.57    36.56     9.37
     2.00    11.85    -1.36     0.16     0.07     0.00  -169.97    28.60    13.51    32.42    25.89     4.64    36.38     9.32
     4.00    11.67    -1.43     0.31     0.15     0.00  -170.95    26.17    13.07    32.39    25.90     4.70    36.20     9.27
     6.00    11.48    -1.49     0.45     0.22     0.00  -171.94    23.75    12.63    32.37    25.90     4.77    36.02     9.22
     8.00    11.27    -1.56     0.57     0.30     0.00  -172.93    21.31    12.18    32.34    25.91     4.83    35.84     9.18
    10.00    11.03    -1.62     0.69     0.37     0.00  -173.93    18.86    11.72    32.31    25.91     4.90    35.65     9.13
    12.00    10.77    -1.69     0.79     0.45     0.00  -174.92    16.40    11.25    32.28    25.91     4.96    35.47     9.08
    14.00    10.49    -1.75     0.89     0.53     0.00  -175.93    13.93    10.78    32.25    25.92     5.03    35.29     9.03
    16.00    10.19    -1.82     0.97     0.61     0.00  -176.94    11.44    10.30    32.22    25.92     5.09    35.10     8.98
    18.00     9.86    -1.88     1.04     0.68     0.00  -177.95     8.93     9.81    32.19    25.93     5.16    34.91     8.93
    20.00     9.51    -1.95     1.09     0.77     0.00  -178.98     6.40     9.31    32.16    25.93     5.23    34.73     8.88
    22.00     9.13    -2.02     1.14     0.85     0.00  -180.01     3.85     8.80    32.13    25.94     5.30    34.54     8.82
    24.00     8.73    -2.09     1.17     0.93     0.00  -181.06     1.26     8.27    32.10    25.94     5.36    34.34     8.77
    26.00     8.30    -2.16     1.18     1.01     0.00  -182.13    -1.37     7.73    32.07    25.95     5.43    34.15     8.72
    28.00     7.85    -2.23     1.19     1.10     0.00  -183.21    -4.05     7.17    32.04    25.95     5.51    33.95     8.67
    30.00     7.37    -2.30     1.17     1.19     0.00  -184.32    -6.79     6.60    32.00    25.96     5.58    33.74     8.61
    32.00     6.85    -2.37     1.14     1.28     0.00  -185.47    -9.61     6.00    31.96    25.96     5.65    33.54     8.55
    34.00     6.31    -2.45     1.09     1.38     0.00  -186.66   -12.55     5.36    31.92    25.97     5.73    33.32     8.49
    36.00     5.74    -2.53     1.01     1.48     0.00  -187.92   -15.66     4.68    31.88    25.98     5.81    33.09     8.43
     0.00    12.00    -1.30     0.00     0.00     0.00  -168.99    31.01    13.94    32.45    25.89     4.57    36.56     9.37
    -2.00    12.13    -1.24    -0.17    -0.07     0.00  -168.00    33.43    14.37    32.47    25.88     4.51    36.74     9.42
    -4.00    12.24    -1.17    -0.35    -0.15     0.00  -167.02    35.84    14.79    32.50    25.88     4.45    36.91     9.46
    -6.00    12.34    -1.11    -0.55    -0.22     0.00  -166.04    38.24    15.21    32.52    25.88     4.38    37.09     9.51
    -8.00    12.41    -1.05    -0.75    -0.29     0.00  -165.06    40.65    15.62    32.55    25.87     4.32    37.27     9.56
   -10.00    12.46    -0.98    -0.96    -0.36     0.00  -164.08    43.05    16.03    32.57    25.87     4.26    37.45     9.61
   -12.00    12.50    -0.92    -1.19    -0.44     0.00  -163.10    45.45    16.43    32.60    25.86     4.20    37.63     9.65
   -14.00    12.51    -0.86    -1.43    -0.51     0.00  -162.11    47.85    16.83    32.62    25.86     4.13    37.80     9.70
   -16.00    12.51    -0.80    -1.68    -0.58     0.00  -161.13    50.26    17.23    32.65    25.86     4.07    37.98     9.75
   -18.00    12.49    -0.73    -1.94    -0.65     0.00  -160.15    52.66    17.62    32.67    25.85     4.01    38.16     9.80
