
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE05 rear suspension                               

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00     0.00  -168.99    31.01    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   728.86   728.86
     0.00     2.00    10.15  -169.50    29.79    12.00    11.85    -1.30    -1.36    -0.07     0.00     1.43   728.86   808.21
     0.00     4.00    21.18  -170.05    28.51    12.00    11.67    -1.30    -1.43    -0.13     0.00     2.87   728.86   887.02
     0.00     6.00    33.21  -170.66    27.18    12.00    11.48    -1.30    -1.49    -0.20     0.00     4.31   728.86   965.22
     0.00     8.00    46.41  -171.33    25.79    12.00    11.27    -1.30    -1.56    -0.27     0.00     5.76   728.86  1042.69
     0.00    10.00    60.94  -172.06    24.33    12.00    11.03    -1.30    -1.62    -0.34     0.00     7.21   728.86  1119.30
     0.00    12.00    77.05  -172.87    22.79    12.00    10.77    -1.30    -1.69    -0.41     0.00     8.67   728.86  1194.91
     0.00    14.00    95.02  -173.78    21.15    12.00    10.49    -1.30    -1.75    -0.48     0.00    10.13   728.86  1269.36
     0.00    16.00   115.21  -174.80    19.39    12.00    10.19    -1.30    -1.82    -0.55     0.00    11.61   728.86  1342.43
     0.00    18.00   138.09  -175.95    17.49    12.00     9.86    -1.30    -1.88    -0.62     0.00    13.10   728.86  1413.91
     0.00    20.00   164.28  -177.27    15.42    12.00     9.51    -1.30    -1.95    -0.69     0.00    14.60   728.86  1483.48
     0.00    22.00   194.60  -178.80    13.13    12.00     9.13    -1.30    -2.02    -0.76     0.00    16.11   728.86  1550.80
     0.00    24.00   230.18  -180.59    10.57    12.00     8.73    -1.30    -2.09    -0.83     0.00    17.65   728.86  1615.42
     0.00    26.00   272.66  -182.74     7.64    12.00     8.30    -1.30    -2.16    -0.90     0.00    19.21   728.86  1676.74
     0.00    28.00   324.45  -185.35     4.23    12.00     7.85    -1.30    -2.23    -0.98     0.00    20.80   728.86  1733.97
     0.00    30.00   389.28  -188.62     0.15    12.00     7.37    -1.30    -2.30    -1.05     0.00    22.42   728.86  1786.01
     0.00    32.00   473.41  -192.86    -4.93    12.00     6.85    -1.30    -2.37    -1.13     0.00    24.09   728.86  1831.22
     0.00    34.00   588.25  -198.65   -11.60    12.00     6.31    -1.30    -2.45    -1.21     0.00    25.83   728.86  1866.99
     0.00    36.00   757.65  -207.19   -21.07    12.00     5.74    -1.30    -2.53    -1.30     0.00    27.67   728.86  1888.60
     0.00     0.00     0.00  -168.99    31.01    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   728.86   728.86
     0.00    -2.00    -9.38  -168.51    32.20    12.00    12.13    -1.30    -1.24     0.07     0.00    -1.43   728.86   649.07
     0.00    -4.00   -18.07  -168.07    33.35    12.00    12.24    -1.30    -1.17     0.13     0.00    -2.86   728.86   568.92
     0.00    -6.00   -26.15  -167.67    34.47    12.00    12.34    -1.30    -1.11     0.20     0.00    -4.28   728.86   488.47
     0.00    -8.00   -33.68  -167.29    35.57    12.00    12.41    -1.30    -1.05     0.27     0.00    -5.71   728.86   407.79
     0.00   -10.00   -40.73  -166.93    36.63    12.00    12.46    -1.30    -0.98     0.34     0.00    -7.13   728.86   326.93
     0.00   -12.00   -47.34  -166.60    37.68    12.00    12.50    -1.30    -0.92     0.40     0.00    -8.55   728.86   245.94
     0.00   -14.00   -53.55  -166.29    38.70    12.00    12.51    -1.30    -0.86     0.47     0.00    -9.98   728.86   164.86
     0.00   -16.00   -59.39  -165.99    39.70    12.00    12.51    -1.30    -0.80     0.54     0.00   -11.40   728.86    83.75
     0.00   -18.00   -64.91  -165.71    40.69    12.00    12.49    -1.30    -0.73     0.60     0.00   -12.82   728.86     2.64
     2.00     0.00   -10.15  -169.50    29.79    11.85    12.00    -1.36    -1.30     0.07     1.43     0.00   808.21   728.86
     2.00     2.00     0.00  -169.97    28.60    11.85    11.85    -1.36    -1.36     0.00     1.43     1.43   808.21   808.21
     2.00     4.00    11.07  -170.48    27.36    11.85    11.67    -1.36    -1.43    -0.07     1.43     2.87   808.21   887.02
     2.00     6.00    23.19  -171.05    26.08    11.85    11.48    -1.36    -1.49    -0.14     1.43     4.31   808.21   965.22
     2.00     8.00    36.53  -171.67    24.74    11.85    11.27    -1.36    -1.56    -0.20     1.43     5.76   808.21  1042.69
     2.00    10.00    51.30  -172.35    23.32    11.85    11.03    -1.36    -1.62    -0.27     1.43     7.21   808.21  1119.30
     2.00    12.00    67.75  -173.12    21.83    11.85    10.77    -1.36    -1.69    -0.34     1.43     8.67   808.21  1194.91
     2.00    14.00    86.20  -173.98    20.23    11.85    10.49    -1.36    -1.75    -0.41     1.43    10.13   808.21  1269.36
     2.00    16.00   107.06  -174.95    18.53    11.85    10.19    -1.36    -1.82    -0.48     1.43    11.61   808.21  1342.43
     2.00    18.00   130.88  -176.05    16.67    11.85     9.86    -1.36    -1.88    -0.55     1.43    13.10   808.21  1413.91
     2.00    20.00   158.36  -177.33    14.64    11.85     9.51    -1.36    -1.95    -0.62     1.43    14.60   808.21  1483.48
     2.00    22.00   190.47  -178.82    12.39    11.85     9.13    -1.36    -2.02    -0.69     1.43    16.11   808.21  1550.80
     2.00    24.00   228.58  -180.60     9.85    11.85     8.73    -1.36    -2.09    -0.76     1.43    17.65   808.21  1615.42
     2.00    26.00   274.69  -182.74     6.92    11.85     8.30    -1.36    -2.16    -0.83     1.43    19.21   808.21  1676.74
     2.00    28.00   331.80  -185.40     3.47    11.85     7.85    -1.36    -2.23    -0.91     1.43    20.80   808.21  1733.97
     2.00    30.00   404.75  -188.79    -0.74    11.85     7.37    -1.36    -2.30    -0.99     1.43    22.42   808.21  1786.01
     2.00    32.00   501.90  -193.30    -6.10    11.85     6.85    -1.36    -2.37    -1.06     1.43    24.09   808.21  1831.22
     2.00    34.00   639.27  -199.69   -13.36    11.85     6.31    -1.36    -2.45    -1.15     1.43    25.83   808.21  1866.99
     2.00    36.00   852.60  -209.61   -24.20    11.85     5.74    -1.36    -2.53    -1.23     1.43    27.67   808.21  1888.60
     2.00     0.00   -10.15  -169.50    29.79    11.85    12.00    -1.36    -1.30     0.07     1.43     0.00   808.21   728.86
     2.00    -2.00   -19.50  -169.06    30.94    11.85    12.13    -1.36    -1.24     0.13     1.43    -1.43   808.21   649.07
     2.00    -4.00   -28.13  -168.66    32.05    11.85    12.24    -1.36    -1.17     0.20     1.43    -2.86   808.21   568.92
     2.00    -6.00   -36.14  -168.29    33.14    11.85    12.34    -1.36    -1.11     0.27     1.43    -4.28   808.21   488.47
     2.00    -8.00   -43.60  -167.94    34.19    11.85    12.41    -1.36    -1.05     0.34     1.43    -5.71   808.21   407.79
     2.00   -10.00   -50.55  -167.62    35.23    11.85    12.46    -1.36    -0.98     0.40     1.43    -7.13   808.21   326.93
     2.00   -12.00   -57.05  -167.32    36.24    11.85    12.50    -1.36    -0.92     0.47     1.43    -8.55   808.21   245.94
     2.00   -14.00   -63.15  -167.03    37.23    11.85    12.51    -1.36    -0.86     0.54     1.43    -9.98   808.21   164.86
     2.00   -16.00   -68.88  -166.77    38.21    11.85    12.51    -1.36    -0.80     0.60     1.43   -11.40   808.21    83.75
     2.00   -18.00   -74.28  -166.52    39.17    11.85    12.49    -1.36    -0.73     0.67     1.43   -12.82   808.21     2.64
     4.00     0.00   -21.18  -170.05    28.51    11.67    12.00    -1.43    -1.30     0.13     2.87     0.00   887.02   728.86
     4.00     2.00   -11.07  -170.48    27.36    11.67    11.85    -1.43    -1.36     0.07     2.87     1.43   887.02   808.21
     4.00     4.00     0.00  -170.95    26.17    11.67    11.67    -1.43    -1.43     0.00     2.87     2.87   887.02   887.02
     4.00     6.00    12.17  -171.47    24.94    11.67    11.48    -1.43    -1.49    -0.07     2.87     4.31   887.02   965.22
     4.00     8.00    25.63  -172.05    23.64    11.67    11.27    -1.43    -1.56    -0.14     2.87     5.76   887.02  1042.69
     4.00    10.00    40.60  -172.68    22.28    11.67    11.03    -1.43    -1.62    -0.20     2.87     7.21   887.02  1119.30
     4.00    12.00    57.37  -173.40    20.83    11.67    10.77    -1.43    -1.69    -0.27     2.87     8.67   887.02  1194.91
     4.00    14.00    76.30  -174.20    19.29    11.67    10.49    -1.43    -1.75    -0.34     2.87    10.13   887.02  1269.36
     4.00    16.00    97.85  -175.12    17.64    11.67    10.19    -1.43    -1.82    -0.41     2.87    11.61   887.02  1342.43
     4.00    18.00   122.66  -176.17    15.83    11.67     9.86    -1.43    -1.88    -0.48     2.87    13.10   887.02  1413.91
     4.00    20.00   151.54  -177.40    13.85    11.67     9.51    -1.43    -1.95    -0.55     2.87    14.60   887.02  1483.48
     4.00    22.00   185.67  -178.85    11.64    11.67     9.13    -1.43    -2.02    -0.62     2.87    16.11   887.02  1550.80
     4.00    24.00   226.70  -180.60     9.12    11.67     8.73    -1.43    -2.09    -0.69     2.87    17.65   887.02  1615.42
     4.00    26.00   277.12  -182.75     6.20    11.67     8.30    -1.43    -2.16    -0.77     2.87    19.21   887.02  1676.74
     4.00    28.00   340.78  -185.45     2.69    11.67     7.85    -1.43    -2.23    -0.84     2.87    20.80   887.02  1733.97
     4.00    30.00   424.13  -189.00    -1.67    11.67     7.37    -1.43    -2.30    -0.92     2.87    22.42   887.02  1786.01
     4.00    32.00   538.81  -193.88    -7.39    11.67     6.85    -1.43    -2.37    -1.00     2.87    24.09   887.02  1831.22
     4.00    34.00   708.58  -201.10   -15.49    11.67     6.31    -1.43    -2.45    -1.08     2.87    25.83   887.02  1866.99
     4.00    36.00   991.57  -213.15   -28.45    11.67     5.74    -1.43    -2.53    -1.16     2.87    27.67   887.02  1888.60
     4.00     0.00   -21.18  -170.05    28.51    11.67    12.00    -1.43    -1.30     0.13     2.87     0.00   887.02   728.86
     4.00    -2.00   -30.46  -169.66    29.62    11.67    12.13    -1.43    -1.24     0.20     2.87    -1.43   887.02   649.07
     4.00    -4.00   -39.01  -169.29    30.70    11.67    12.24    -1.43    -1.17     0.27     2.87    -2.86   887.02   568.92
     4.00    -6.00   -46.91  -168.96    31.75    11.67    12.34    -1.43    -1.11     0.34     2.87    -4.28   887.02   488.47
     4.00    -8.00   -54.25  -168.65    32.77    11.67    12.41    -1.43    -1.05     0.40     2.87    -5.71   887.02   407.79
     4.00   -10.00   -61.07  -168.36    33.77    11.67    12.46    -1.43    -0.98     0.47     2.87    -7.13   887.02   326.93
     4.00   -12.00   -67.44  -168.09    34.75    11.67    12.50    -1.43    -0.92     0.54     2.87    -8.55   887.02   245.94
     4.00   -14.00   -73.40  -167.83    35.72    11.67    12.51    -1.43    -0.86     0.60     2.87    -9.98   887.02   164.86
     4.00   -16.00   -78.99  -167.59    36.66    11.67    12.51    -1.43    -0.80     0.67     2.87   -11.40   887.02    83.75
     4.00   -18.00   -84.24  -167.37    37.60    11.67    12.49    -1.43    -0.73     0.74     2.87   -12.82   887.02     2.64
     6.00     0.00   -33.21  -170.66    27.18    11.48    12.00    -1.49    -1.30     0.20     4.31     0.00   965.22   728.86
     6.00     2.00   -23.19  -171.05    26.08    11.48    11.85    -1.49    -1.36     0.14     4.31     1.43   965.22   808.21
     6.00     4.00   -12.17  -171.47    24.94    11.48    11.67    -1.49    -1.43     0.07     4.31     2.87   965.22   887.02
     6.00     6.00     0.00  -171.94    23.75    11.48    11.48    -1.49    -1.49     0.00     4.31     4.31   965.22   965.22
     6.00     8.00    13.53  -172.46    22.50    11.48    11.27    -1.49    -1.56    -0.07     4.31     5.76   965.22  1042.69
     6.00    10.00    28.66  -173.05    21.19    11.48    11.03    -1.49    -1.62    -0.14     4.31     7.21   965.22  1119.30
     6.00    12.00    45.71  -173.71    19.80    11.48    10.77    -1.49    -1.69    -0.20     4.31     8.67   965.22  1194.91
     6.00    14.00    65.09  -174.45    18.32    11.48    10.49    -1.49    -1.75    -0.27     4.31    10.13   965.22  1269.36
     6.00    16.00    87.35  -175.31    16.72    11.48    10.19    -1.49    -1.82    -0.34     4.31    11.61   965.22  1342.43
     6.00    18.00   113.19  -176.31    14.98    11.48     9.86    -1.49    -1.88    -0.41     4.31    13.10   965.22  1413.91
     6.00    20.00   143.61  -177.49    13.05    11.48     9.51    -1.49    -1.95    -0.48     4.31    14.60   965.22  1483.48
     6.00    22.00   180.01  -178.89    10.88    11.48     9.13    -1.49    -2.02    -0.55     4.31    16.11   965.22  1550.80
     6.00    24.00   224.45  -180.61     8.40    11.48     8.73    -1.49    -2.09    -0.63     4.31    17.65   965.22  1615.42
     6.00    26.00   280.09  -182.75     5.47    11.48     8.30    -1.49    -2.16    -0.70     4.31    19.21   965.22  1676.74
     6.00    28.00   352.01  -185.53     1.90    11.48     7.85    -1.49    -2.23    -0.77     4.31    20.80   965.22  1733.97
     6.00    30.00   449.13  -189.28    -2.67    11.48     7.37    -1.49    -2.30    -0.85     4.31    22.42   965.22  1786.01
     6.00    32.00   588.54  -194.66    -8.89    11.48     6.85    -1.49    -2.37    -0.93     4.31    24.09   965.22  1831.22
     6.00    34.00   808.22  -203.14   -18.24    11.48     6.31    -1.49    -2.45    -1.01     4.31    25.83   965.22  1866.99
     6.00    36.00  1214.57  -218.82   -34.85    11.48     5.74    -1.49    -2.53    -1.10     4.31    27.67   965.22  1888.60
     6.00     0.00   -33.21  -170.66    27.18    11.48    12.00    -1.49    -1.30     0.20     4.31     0.00   965.22   728.86
     6.00    -2.00   -42.38  -170.31    28.25    11.48    12.13    -1.49    -1.24     0.27     4.31    -1.43   965.22   649.07
     6.00    -4.00   -50.79  -169.98    29.29    11.48    12.24    -1.49    -1.17     0.34     4.31    -2.86   965.22   568.92
     6.00    -6.00   -58.55  -169.68    30.30    11.48    12.34    -1.49    -1.11     0.40     4.31    -4.28   965.22   488.47
     6.00    -8.00   -65.72  -169.41    31.29    11.48    12.41    -1.49    -1.05     0.47     4.31    -5.71   965.22   407.79
