
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           FSE05 rear suspension                               

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.06     0.00    -0.04     0.00     0.40     0.00     1.36    -1.30     0.03     0.00    -0.33     0.20   673.32   728.86
     0.00  -100.00     0.00    -0.06     0.00     0.04     0.00    -0.40     0.00     1.24    -1.30    -0.03     0.00    -0.07     0.20   784.39   728.86
     0.00     0.00   100.00     0.00    -0.06     0.00    -0.04     0.00    -0.40     1.30    -1.24     0.00    -0.03    -0.20     0.07   728.86   784.39
     0.00     0.00  -100.00     0.00     0.06     0.00     0.04     0.00     0.40     1.30    -1.36     0.00     0.03    -0.20     0.33   728.86   673.32
     2.00   100.00     0.00    -0.02    -0.07    -0.18     0.14     1.83     1.43     1.42    -1.36     0.08     0.05    -0.33     0.20   752.49   808.21
     2.00  -100.00     0.00    -0.13    -0.07    -0.10     0.14     1.04     1.43     1.30    -1.36     0.02     0.05    -0.07     0.20   863.90   808.21
     2.00     0.00   100.00    -0.07    -0.13    -0.14     0.10     1.43     1.04     1.36    -1.30     0.05     0.02    -0.20     0.07   808.21   863.90
     2.00     0.00  -100.00    -0.07    -0.02    -0.14     0.18     1.43     1.83     1.36    -1.42     0.05     0.08    -0.20     0.33   808.21   752.49
     4.00   100.00     0.00    -0.09    -0.15    -0.33     0.29     3.27     2.87     1.49    -1.43     0.12     0.10    -0.32     0.19   831.12   887.02
     4.00  -100.00     0.00    -0.20    -0.15    -0.25     0.29     2.47     2.87     1.37    -1.43     0.07     0.10    -0.06     0.19   942.91   887.02
     4.00     0.00   100.00    -0.15    -0.20    -0.29     0.25     2.87     2.47     1.43    -1.37     0.10     0.07    -0.19     0.06   887.02   942.91
     4.00     0.00  -100.00    -0.15    -0.09    -0.29     0.33     2.87     3.27     1.43    -1.49     0.10     0.12    -0.19     0.32   887.02   831.12
     6.00   100.00     0.00    -0.17    -0.22    -0.49     0.44     4.71     4.31     1.55    -1.49     0.17     0.15    -0.32     0.19   909.09   965.22
     6.00  -100.00     0.00    -0.28    -0.22    -0.40     0.44     3.91     4.31     1.43    -1.49     0.12     0.15    -0.06     0.19  1021.32   965.22
     6.00     0.00   100.00    -0.22    -0.28    -0.44     0.40     4.31     3.91     1.49    -1.43     0.15     0.12    -0.19     0.06   965.22  1021.32
     6.00     0.00  -100.00    -0.22    -0.17    -0.44     0.49     4.31     4.71     1.49    -1.55     0.15     0.17    -0.19     0.32   965.22   909.09
     8.00   100.00     0.00    -0.25    -0.30    -0.65     0.60     6.16     5.76     1.62    -1.56     0.22     0.20    -0.32     0.19   986.31  1042.69
     8.00  -100.00     0.00    -0.35    -0.30    -0.56     0.60     5.35     5.76     1.49    -1.56     0.17     0.20    -0.06     0.19  1099.03  1042.69
     8.00     0.00   100.00    -0.30    -0.35    -0.60     0.56     5.76     5.35     1.56    -1.49     0.20     0.17    -0.19     0.06  1042.69  1099.03
     8.00     0.00  -100.00    -0.30    -0.25    -0.60     0.65     5.76     6.16     1.56    -1.62     0.20     0.22    -0.19     0.32  1042.69   986.31
    10.00   100.00     0.00    -0.32    -0.37    -0.82     0.77     7.61     7.21     1.68    -1.62     0.27     0.25    -0.31     0.18  1062.63  1119.30
    10.00  -100.00     0.00    -0.43    -0.37    -0.73     0.77     6.80     7.21     1.56    -1.62     0.22     0.25    -0.06     0.18  1175.92  1119.30
    10.00     0.00   100.00    -0.37    -0.43    -0.77     0.73     7.21     6.80     1.62    -1.56     0.25     0.22    -0.18     0.06  1119.30  1175.92
    10.00     0.00  -100.00    -0.37    -0.32    -0.77     0.82     7.21     7.61     1.62    -1.68     0.25     0.27    -0.18     0.31  1119.30  1062.63
    12.00   100.00     0.00    -0.40    -0.45    -1.00     0.95     9.07     8.67     1.75    -1.69     0.32     0.30    -0.30     0.18  1137.93  1194.91
    12.00  -100.00     0.00    -0.50    -0.45    -0.90     0.95     8.26     8.67     1.62    -1.69     0.27     0.30    -0.05     0.18  1251.84  1194.91
    12.00     0.00   100.00    -0.45    -0.50    -0.95     0.90     8.67     8.26     1.69    -1.62     0.30     0.27    -0.18     0.05  1194.91  1251.84
    12.00     0.00  -100.00    -0.45    -0.40    -0.95     1.00     8.67     9.07     1.69    -1.75     0.30     0.32    -0.18     0.30  1194.91  1137.93
    14.00   100.00     0.00    -0.48    -0.53    -1.18     1.13    10.54    10.13     1.81    -1.75     0.37     0.35    -0.30     0.17  1212.00  1269.36
    14.00  -100.00     0.00    -0.58    -0.53    -1.08     1.13     9.73    10.13     1.69    -1.75     0.32     0.35    -0.05     0.17  1326.64  1269.36
