
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           FSE05 rear suspension                               

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.06     0.00    -0.02     0.00     0.30     0.00     1.32    -1.30     0.21     0.00    -0.30     0.20   686.61   728.86
     0.00  -100.00     0.00    -0.06     0.00     0.02     0.00    -0.30     0.00     1.27    -1.30    -0.21     0.00    -0.10     0.20   771.19   728.86
     0.00     0.00   100.00     0.00     0.06     0.00     0.02     0.00     0.30     1.30    -1.32     0.00     0.21    -0.20     0.30   728.86   686.61
     0.00     0.00  -100.00     0.00    -0.06     0.00    -0.02     0.00    -0.30     1.30    -1.27     0.00    -0.21    -0.20     0.10   728.86   771.19
     2.00   100.00     0.00    -0.02    -0.07    -0.16     0.14     1.73     1.43     1.39    -1.36     0.26     0.05    -0.30     0.20   765.82   808.21
     2.00  -100.00     0.00    -0.13    -0.07    -0.12     0.14     1.13     1.43     1.34    -1.36    -0.17     0.05    -0.10     0.20   850.67   808.21
     2.00     0.00   100.00    -0.07    -0.02    -0.14     0.16     1.43     1.73     1.36    -1.39     0.05     0.26    -0.20     0.30   808.21   765.82
     2.00     0.00  -100.00    -0.07    -0.13    -0.14     0.12     1.43     1.13     1.36    -1.34     0.05    -0.17    -0.20     0.10   808.21   850.67
     4.00   100.00     0.00    -0.09    -0.15    -0.31     0.29     3.17     2.87     1.45    -1.43     0.31     0.10    -0.29     0.19   844.49   887.02
     4.00  -100.00     0.00    -0.21    -0.15    -0.27     0.29     2.57     2.87     1.40    -1.43    -0.12     0.10    -0.10     0.19   929.64   887.02
     4.00     0.00   100.00    -0.15    -0.09    -0.29     0.31     2.87     3.17     1.43    -1.45     0.10     0.31    -0.19     0.29   887.02   844.49
     4.00     0.00  -100.00    -0.15    -0.21    -0.29     0.27     2.87     2.57     1.43    -1.40     0.10    -0.12    -0.19     0.10   887.02   929.64
     6.00   100.00     0.00    -0.16    -0.22    -0.47     0.44     4.61     4.31     1.52    -1.49     0.36     0.15    -0.29     0.19   922.52   965.22
     6.00  -100.00     0.00    -0.28    -0.22    -0.42     0.44     4.01     4.31     1.47    -1.49    -0.07     0.15    -0.09     0.19  1008.01   965.22
     6.00     0.00   100.00    -0.22    -0.16    -0.44     0.47     4.31     4.61     1.49    -1.52     0.15     0.36    -0.19     0.29   965.22   922.52
     6.00     0.00  -100.00    -0.22    -0.28    -0.44     0.42     4.31     4.01     1.49    -1.47     0.15    -0.07    -0.19     0.09   965.22  1008.01
     8.00   100.00     0.00    -0.24    -0.30    -0.63     0.60     6.06     5.76     1.58    -1.56     0.41     0.20    -0.29     0.19   999.79  1042.69
     8.00  -100.00     0.00    -0.36    -0.30    -0.58     0.60     5.45     5.76     1.53    -1.56    -0.02     0.20    -0.09     0.19  1085.66  1042.69
     8.00     0.00   100.00    -0.30    -0.24    -0.60     0.63     5.76     6.06     1.56    -1.58     0.20     0.41    -0.19     0.29  1042.69   999.79
     8.00     0.00  -100.00    -0.30    -0.36    -0.60     0.58     5.76     5.45     1.56    -1.53     0.20    -0.02    -0.19     0.09  1042.69  1085.66
    10.00   100.00     0.00    -0.32    -0.37    -0.80     0.77     7.51     7.21     1.65    -1.62     0.46     0.25    -0.28     0.18  1076.18  1119.30
    10.00  -100.00     0.00    -0.43    -0.37    -0.75     0.77     6.90     7.21     1.59    -1.62     0.03     0.25    -0.08     0.18  1162.49  1119.30
    10.00     0.00   100.00    -0.37    -0.32    -0.77     0.80     7.21     7.51     1.62    -1.65     0.25     0.46    -0.18     0.28  1119.30  1076.18
    10.00     0.00  -100.00    -0.37    -0.43    -0.77     0.75     7.21     6.90     1.62    -1.59     0.25     0.03    -0.18     0.08  1119.30  1162.49
    12.00   100.00     0.00    -0.39    -0.45    -0.97     0.95     8.97     8.67     1.71    -1.69     0.51     0.30    -0.28     0.18  1151.54  1194.91
    12.00  -100.00     0.00    -0.51    -0.45    -0.92     0.95     8.36     8.67     1.66    -1.69     0.08     0.30    -0.08     0.18  1238.35  1194.91
    12.00     0.00   100.00    -0.45    -0.39    -0.95     0.97     8.67     8.97     1.69    -1.71     0.30     0.51    -0.18     0.28  1194.91  1151.54
