
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           FSE05 rear suspension                               

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.66     0.00    -0.02     0.00     0.01     0.00     1.17    -1.30    -0.09     0.00     0.79     0.20   726.71   728.86
     0.00  -100.00     0.00     0.66     0.00     0.00     0.00    -0.03     0.00     1.43    -1.30     0.09     0.00    -1.19     0.20   732.75   728.86
     0.00     0.00   100.00     0.00     0.66     0.00     0.00     0.00    -0.03     1.30    -1.43     0.00     0.09    -0.20     1.19   728.86   732.75
     0.00     0.00  -100.00     0.00    -0.66     0.00     0.02     0.00     0.01     1.30    -1.17     0.00    -0.09    -0.20    -0.79   728.86   726.71
     2.00   100.00     0.00    -0.73    -0.07    -0.16     0.14     1.45     1.43     1.23    -1.36    -0.04     0.05     0.79     0.20   805.68   808.21
     2.00  -100.00     0.00     0.58    -0.07    -0.14     0.14     1.40     1.43     1.49    -1.36     0.14     0.05    -1.18     0.20   812.44   808.21
     2.00     0.00   100.00    -0.07     0.58    -0.14     0.14     1.43     1.40     1.36    -1.49     0.05     0.14    -0.20     1.18   808.21   812.44
     2.00     0.00  -100.00    -0.07    -0.73    -0.14     0.16     1.43     1.45     1.36    -1.23     0.05    -0.04    -0.20    -0.79   808.21   805.68
     4.00   100.00     0.00    -0.80    -0.15    -0.31     0.29     2.89     2.87     1.30    -1.43     0.00     0.10     0.79     0.19   884.12   887.02
     4.00  -100.00     0.00     0.51    -0.15    -0.28     0.29     2.84     2.87     1.56    -1.43     0.19     0.10    -1.18     0.19   891.61   887.02
     4.00     0.00   100.00    -0.15     0.51    -0.29     0.28     2.87     2.84     1.43    -1.56     0.10     0.19    -0.19     1.18   887.02   891.61
     4.00     0.00  -100.00    -0.15    -0.80    -0.29     0.31     2.87     2.89     1.43    -1.30     0.10     0.00    -0.19    -0.79   887.02   884.12
     6.00   100.00     0.00    -0.88    -0.22    -0.46     0.44     4.34     4.31     1.36    -1.49     0.05     0.15     0.80     0.19   961.93   965.22
     6.00  -100.00     0.00     0.43    -0.22    -0.44     0.44     4.27     4.31     1.62    -1.49     0.24     0.15    -1.17     0.19   970.16   965.22
