#  Time     Vel  VelUpp  VelLow
   0.00    0.00    2.00   -2.00
   1.00    0.00    2.00   -2.00
   2.00    0.00    2.00   -2.00
   3.00    0.00    2.00   -2.00
   4.00    0.00    2.00   -2.00
   5.00    0.00    2.00   -2.00
   6.00    0.00    2.00   -2.00
   7.00    0.00    2.00   -2.00
   8.00    0.00    2.00   -2.00
   9.00    0.00    2.00   -2.00
  10.00    0.00    2.00   -2.00
  11.00    0.00    5.75   -2.00
  12.00    3.75    9.50   -2.00
  13.00    7.50   13.25    1.75
  14.00   11.25   17.00    5.50
  15.00   15.00   17.00    9.25
  16.00   15.00   17.00   13.00
  17.00   15.00   17.00   13.00
  18.00   15.00   17.00   13.00
  19.00   15.00   17.00   13.00
  20.00   15.00   17.00   13.00
  21.00   15.00   17.00   13.00
  22.00   15.00   17.00   13.00
  23.00   15.00   17.00   10.00
  24.00   12.00   17.00    7.00
  25.00    9.00   14.00    4.00
  26.00    6.00   11.00    1.00
  27.00    3.00    8.00   -2.00
  28.00    0.00    5.00   -2.00
  29.00    0.00    2.00   -2.00
  30.00    0.00    2.00   -2.00
  31.00    0.00    2.00   -2.00
  32.00    0.00    2.00   -2.00
  33.00    0.00    2.00   -2.00
  34.00    0.00    2.00   -2.00
  35.00    0.00    2.00   -2.00
  36.00    0.00    2.00   -2.00
  37.00    0.00    2.00   -2.00
  38.00    0.00    2.00   -2.00
  39.00    0.00    2.00   -2.00
  40.00    0.00    2.00   -2.00
  41.00    0.00    2.00   -2.00
  42.00    0.00    2.00   -2.00
  43.00    0.00    2.00   -2.00
  44.00    0.00    2.00   -2.00
  45.00    0.00    2.00   -2.00
  46.00    0.00    2.00   -2.00
  47.00    0.00    2.00   -2.00
  48.00    0.00    2.00   -2.00
  49.00    0.00    4.50   -2.00
  50.00    2.50    7.00   -2.00
  51.00    5.00    9.50    0.50
  52.00    7.50   12.00    3.00
  53.00   10.00   14.50    5.50
  54.00   12.50   17.00    8.00
  55.00   15.00   19.83   10.50
  56.00   17.83   22.67   13.00
  57.00   20.67   25.50   15.83
  58.00   23.50   28.33   18.67
  59.00   26.33   31.17   21.50
  60.00   29.17   34.00   24.33
  61.00   32.00   34.00   27.17
  62.00   32.00   34.00   30.00
  63.00   32.00   34.00   30.00
  64.00   32.00   34.00   30.00
  65.00   32.00   34.00   30.00
  66.00   32.00   34.00   30.00
  67.00   32.00   34.00   30.00
  68.00   32.00   34.00   30.00
  69.00   32.00   34.00   30.00
  70.00   32.00   34.00   30.00
  71.00   32.00   34.00   30.00
  72.00   32.00   34.00   30.00
  73.00   32.00   34.00   30.00
  74.00   32.00   34.00   30.00
  75.00   32.00   34.00   30.00
  76.00   32.00   34.00   30.00
  77.00   32.00   34.00   30.00
  78.00   32.00   34.00   30.00
  79.00   32.00   34.00   30.00
  80.00   32.00   34.00   30.00
  81.00   32.00   34.00   30.00
  82.00   32.00   34.00   30.00
  83.00   32.00   34.00   30.00
  84.00   32.00   34.00   30.00
  85.00   32.00   34.00   27.09
  86.00   29.09   34.00   24.18
  87.00   26.18   31.09   21.27
  88.00   23.27   28.18   18.36
  89.00   20.36   25.27   15.45
  90.00   17.45   22.36   12.55
  91.00   14.55   19.45    9.64
  92.00   11.64   16.55    6.73
  93.00    8.73   13.64    3.82
  94.00    5.82   10.73    0.91
  95.00    2.91    7.82   -2.00
  96.00    0.00    4.91   -2.00
  97.00    0.00    2.00   -2.00
  98.00    0.00    2.00   -2.00
  99.00    0.00    2.00   -2.00
 100.00    0.00    2.00   -2.00
 101.00    0.00    2.00   -2.00
 102.00    0.00    2.00   -2.00
 103.00    0.00    2.00   -2.00
 104.00    0.00    2.00   -2.00
 105.00    0.00    2.00   -2.00
 106.00    0.00    2.00   -2.00
 107.00    0.00    2.00   -2.00
 108.00    0.00    2.00   -2.00
 109.00    0.00    2.00   -2.00
 110.00    0.00    2.00   -2.00
 111.00    0.00    2.00   -2.00
 112.00    0.00    2.00   -2.00
 113.00    0.00    2.00   -2.00
 114.00    0.00    2.00   -2.00
 115.00    0.00    2.00   -2.00
 116.00    0.00    2.00   -2.00
 117.00    0.00    4.50   -2.00
 118.00    2.50    7.00   -2.00
 119.00    5.00    9.50    0.50
 120.00    7.50   12.00    3.00
 121.00   10.00   14.50    5.50
 122.00   12.50   17.00    8.00
 123.00   15.00   18.82   10.50
 124.00   16.82   20.64   13.00
 125.00   18.64   22.45   14.82
 126.00   20.45   24.27   16.64
 127.00   22.27   26.09   18.45
 128.00   24.09   27.91   20.27
 129.00   25.91   29.73   22.09
 130.00   27.73   31.55   23.91
 131.00   29.55   33.36   25.73
 132.00   31.36   35.18   27.55
 133.00   33.18   37.00   29.36
 134.00   35.00   38.67   31.18
 135.00   36.67   40.33   33.00
 136.00   38.33   42.00   34.67
 137.00   40.00   43.67   36.33
 138.00   41.67   45.33   38.00
 139.00   43.33   47.00   39.67
 140.00   45.00   48.67   41.33
 141.00   46.67   50.33   43.00
 142.00   48.33   52.00   44.67
 143.00   50.00   52.00   46.33
 144.00   50.00   52.00   48.00
 145.00   50.00   52.00   48.00
 146.00   50.00   52.00   48.00
 147.00   50.00   52.00   48.00
 148.00   50.00   52.00   48.00
 149.00   50.00   52.00   48.00
 150.00   50.00   52.00   48.00
 151.00   50.00   52.00   48.00
 152.00   50.00   52.00   48.00
 153.00   50.00   52.00   48.00
 154.00   50.00   52.00   48.00
 155.00   50.00   52.00   46.13
 156.00   48.13   52.00   44.25
 157.00   46.25   50.13   42.38
 158.00   44.38   48.25   40.50
 159.00   42.50   46.38   38.63
 160.00   40.63   44.50   36.75
 161.00   38.75   42.63   34.88
 162.00   36.88   40.75   33.00
 163.00   35.00   38.88   33.00
 164.00   35.00   37.00   33.00
 165.00   35.00   37.00   33.00
 166.00   35.00   37.00   33.00
 167.00   35.00   37.00   33.00
 168.00   35.00   37.00   33.00
 169.00   35.00   37.00   33.00
 170.00   35.00   37.00   33.00
 171.00   35.00   37.00   33.00
 172.00   35.00   37.00   33.00
 173.00   35.00   37.00   33.00
 174.00   35.00   37.00   33.00
 175.00   35.00   37.00   33.00
 176.00   35.00   37.00   33.00
 177.00   35.00   37.00   33.00
 178.00   35.00   37.00   29.50
 179.00   31.50   37.00   26.00
 180.00   28.00   33.50   22.50
 181.00   24.50   30.00   19.00
 182.00   21.00   26.50   15.50
 183.00   17.50   23.00   12.00
 184.00   14.00   19.50    8.50
 185.00   10.50   16.00    5.00
 186.00    7.00   12.50    1.50
 187.00    3.50    9.00   -2.00
 188.00    0.00    5.50   -2.00
 189.00    0.00    2.00   -2.00
 190.00    0.00    2.00   -2.00
 191.00    0.00    2.00   -2.00
 192.00    0.00    2.00   -2.00
 193.00    0.00    2.00   -2.00
 194.00    0.00    2.00   -2.00
 195.00    0.00    2.00   -2.00
 196.00    0.00    2.00   -2.00
 197.00    0.00    2.00   -2.00
 198.00    0.00    2.00   -2.00
 199.00    0.00    2.00   -2.00
 200.00    0.00    2.00   -2.00
 201.00    0.00    2.00   -2.00
 202.00    0.00    2.00   -2.00
 203.00    0.00    2.00   -2.00
 204.00    0.00    2.00   -2.00
 205.00    0.00    2.00   -2.00
 206.00    0.00    5.75   -2.00
 207.00    3.75    9.50   -2.00
 208.00    7.50   13.25    1.75
 209.00   11.25   17.00    5.50
 210.00   15.00   17.00    9.25
 211.00   15.00   17.00   13.00
 212.00   15.00   17.00   13.00
 213.00   15.00   17.00   13.00
 214.00   15.00   17.00   13.00
 215.00   15.00   17.00   13.00
 216.00   15.00   17.00   13.00
 217.00   15.00   17.00   13.00
 218.00   15.00   17.00   10.00
 219.00   12.00   17.00    7.00
 220.00    9.00   14.00    4.00
 221.00    6.00   11.00    1.00
 222.00    3.00    8.00   -2.00
 223.00    0.00    5.00   -2.00
 224.00    0.00    2.00   -2.00
 225.00    0.00    2.00   -2.00
 226.00    0.00    2.00   -2.00
 227.00    0.00    2.00   -2.00
 228.00    0.00    2.00   -2.00
 229.00    0.00    2.00   -2.00
 230.00    0.00    2.00   -2.00
 231.00    0.00    2.00   -2.00
 232.00    0.00    2.00   -2.00
 233.00    0.00    2.00   -2.00
 234.00    0.00    2.00   -2.00
 235.00    0.00    2.00   -2.00
 236.00    0.00    2.00   -2.00
 237.00    0.00    2.00   -2.00
 238.00    0.00    2.00   -2.00
 239.00    0.00    2.00   -2.00
 240.00    0.00    2.00   -2.00
 241.00    0.00    2.00   -2.00
 242.00    0.00    2.00   -2.00
 243.00    0.00    2.00   -2.00
